item_code,order_frequency,total_quantity,abc_class
10040003001,204,3768,A
14121057001,204,338,A
14500067001,203,1816,A
14003037001,203,290,A
14504015001,201,1700,A
10002007001,200,2652,A
14833024001,200,1269,A
14505031001,200,1194,A
10020018001,199,5154,A
14810004001,199,1206,A
14131081001,198,326,A
14000042001,198,370,A
14014020001,197,320,A
12221009001,196,286,A
14000071001,196,260,A
15022004001,196,6372,A
14131022001,195,298,A
15020010001,195,7836,A
10033054001,195,2596,A
14130016001,195,284,A
14822014001,193,876,A
14500026001,192,1449,A
14501053001,192,1028,A
14510150001,191,338,A
14021005001,190,337,A
14104169001,187,233,A
14130001001,187,252,A
14504001001,186,1295,A
14001074001,183,433,A
14361106001,183,448,A
14000075001,183,280,A
10032049001,183,2988,A
14023083001,182,317,A
14509008001,182,235,A
14620006001,181,297,A
14311004001,181,428,A
14831021001,181,834,A
11111017001,181,352,A
10033011001,181,2400,A
10002035001,180,476,A
14131105001,179,256,A
14010060001,179,291,A
14850010001,177,177,A
14804010001,177,1470,A
14001012001,177,276,A
14000060001,175,288,A
14104042001,175,244,A
10033066001,175,2656,A
10033070001,175,3676,A
14804004001,175,1824,A
14010173001,174,353,A
10024007001,174,2880,A
14204061001,174,323,A
10040023001,173,3968,A
14023027001,173,266,A
14804002001,173,2202,A
14521158001,173,526,A
14131020001,173,251,A
14023198001,173,234,A
14000014001,173,233,A
14504027001,171,1420,A
10002003001,171,2056,A
14121136001,171,255,A
14105102001,171,253,A
12121064001,168,175,A
14244016001,168,378,A
14000003001,168,238,A
14851058001,168,244,A
14505021001,167,1459,A
14505099001,167,885,A
15022026001,167,4260,A
11103090001,166,531,A
14621069001,166,316,A
12201068001,166,232,A
14244021001,165,377,A
14500014001,165,231,A
14014018001,165,279,A
10001014001,165,2112,A
10014033001,165,3432,A
12221012001,165,542,A
14244020001,165,1385,A
10031016001,164,4116,A
10032003001,163,2964,A
14020015001,163,279,A
14506072001,163,287,A
11103022001,163,522,A
14010027001,163,1071,A
14130010001,162,203,A
14244017001,162,226,A
14831011001,162,678,A
10013005001,161,4212,A
14833009001,160,699,A
14222068001,160,257,A
14023503001,159,244,A
14000040001,159,259,A
14003009001,159,288,A
10031911001,159,4770,A
14130009001,159,200,A
14121062001,159,273,A
14501047001,159,1765,A
14506056001,159,207,A
14012019001,156,239,A
14110029001,156,224,A
10002017001,156,1177,A
10032064001,155,3126,A
14505020001,155,1285,A
14506001001,154,245,A
14020006001,154,200,A
12122032001,153,163,A
10000003001,153,2820,A
10034017001,152,3570,A
14104101001,152,248,A
14121115001,152,361,A
14130042001,151,185,A
14510004001,150,437,A
14000043001,150,212,A
11040005001,150,380,A
14615070001,149,543,A
14805004001,149,1584,A
10022030001,149,1992,A
14102040001,149,251,A
10030011001,148,1744,A
10030014001,148,1900,A
14001046001,147,354,A
12100039001,147,177,A
10002071001,147,920,A
10000010001,146,861,A
14204892001,145,203,A
14502022001,144,1017,A
10020041001,144,3042,A
14132052001,144,210,A
14613026001,144,250,A
10002014001,144,2526,A
10002046001,144,2610,A
14021021001,143,163,A
14131008001,143,178,A
10013012001,143,1764,A
14615084001,142,255,A
12220003001,142,203,A
14223179001,141,176,A
10012011001,141,3456,A
14502007001,140,843,A
10035017001,140,1736,A
10021012001,140,4356,A
10040049001,140,486,A
14500007001,139,1135,A
14111036001,139,182,A
10001001001,139,426,A
14100026001,139,202,A
10040094001,138,456,A
10002943001,138,2586,A
10020027001,137,2217,A
14000002001,137,217,A
14121164001,137,202,A
14111039001,137,204,A
10034027001,136,2490,A
14133029001,135,242,A
14223215001,134,206,A
10031017001,134,4080,A
14112054001,134,174,A
14130054001,133,185,A
12220013001,133,177,A
14361101001,132,380,A
11040009001,132,334,A
14011074001,132,189,A
12106105001,131,200,A
11040035001,130,326,A
10040032001,130,4242,A
14010037001,130,157,A
14511051001,130,341,A
14121143001,129,209,A
14110081001,129,236,A
14011006001,129,255,A
14222072001,129,204,A
12212033001,129,231,A
14506065001,129,259,A
14831022001,129,636,A
14101024001,128,218,A
14010043001,128,170,A
10001022001,128,1144,A
14520068001,127,426,A
14353019001,127,341,A
10033028001,127,2384,A
14110006001,126,192,A
14851025001,126,169,A
12122999001,126,772,A
14103018001,126,161,A
14601026001,126,180,A
14833018001,126,181,A
10032055001,125,1800,A
14832012001,125,531,A
11040006001,124,306,A
14311005001,124,296,A
10033075001,124,578,A
14010178001,124,238,A
14000033001,124,210,A
14510007001,123,226,A
10014009001,123,2058,A
14504052001,123,252,A
10012004001,123,1124,A
10031004001,123,2052,A
14504008001,123,970,A
10002944001,122,2178,A
10014083001,122,383,A
14100012001,122,191,A
14023102001,121,184,A
10031025001,121,1532,A
12201043001,121,1830,A
14510025001,121,332,A
14330005001,120,178,A
14102009001,120,157,A
14014011001,120,214,A
14112040001,120,144,A
14010094001,120,184,A
11103070001,119,372,A
10011023001,119,1566,A
10035028001,119,2484,A
14200119001,118,174,A
10040019001,118,382,A
14850011001,118,118,A
14504002001,118,1185,A
10033019001,118,669,A
14223045001,118,288,A
14000027001,117,167,A
10033044001,117,470,A
14500064001,117,730,A
11050035001,117,165,A
14021107001,116,145,A
14244014001,116,260,A
11061071001,116,148,A
14011010001,116,197,A
14244052001,116,270,A
14121104001,115,164,A
31501021001,115,230,A
14501021001,115,1836,A
10032011001,115,2460,A
14000010001,114,152,A
14500003001,114,1625,A
14104019001,114,127,A
14840018001,114,492,A
14361099001,113,349,A
14502054001,113,542,A
14204054001,113,181,A
12000178001,113,252,A
10032020001,113,1004,A
10033010001,112,1319,A
14203001001,112,149,A
14105130001,112,139,A
14510033001,112,276,A
14510041001,112,257,A
31501010001,112,292,A
14613902001,112,270,A
14503002001,112,640,A
14121094001,111,161,A
14112021001,111,136,A
10035002001,111,521,A
14001034001,111,212,A
15020046001,111,4151,A
14510252001,110,267,A
14110086001,110,156,A
10034039001,110,1980,A
14020022001,110,201,A
14811007001,110,151,A
10033014001,110,1480,A
10001020001,110,1836,A
31533008001,109,238,A
10033016001,109,1165,A
14242011001,109,210,A
14804005001,109,1158,A
10000012001,109,1088,A
14020014001,109,162,A
14132003001,108,170,A
14820017001,108,891,A
14131056001,108,155,A
14242012001,108,179,A
14616002001,108,315,A
10034050001,108,2088,A
10015011001,107,2184,A
14100013001,107,151,A
14020951001,107,206,A
11103019001,106,279,A
11103050001,106,340,A
14506090001,106,152,A
12201031001,106,2544,A
14222142001,106,222,A
14510029001,106,213,A
15020920001,106,4452,A
14502023001,106,468,A
14131121001,106,125,A
14502029001,105,531,A
14001002001,105,203,A
14506002001,105,126,A
14000041001,105,153,A
14510175001,105,318,A
14204071001,105,214,A
14830002001,105,645,A
10030016001,105,992,A
10002074001,105,350,A
10021009001,105,1254,A
14223094001,105,227,A
14850001001,105,105,A
14133030001,104,208,A
14630016001,103,175,A
14510069001,103,179,A
14504053001,103,183,A
14620030001,102,172,A
14021054001,102,132,A
10000004001,102,820,A
11050004001,102,164,A
14223039001,102,130,A
14120020001,101,138,A
14504028001,101,885,A
14831013001,101,576,A
11040010001,101,281,A
14510111001,101,131,A
14023025001,101,244,A
10030046001,101,1668,A
14330010001,101,175,A
14001031001,100,207,A
15021035001,100,2670,A
14500008001,100,1368,A
10034024001,100,1722,A
15024004001,100,2268,A
14223037001,99,172,A
10040079001,99,330,A
14222114001,99,164,A
31500006001,99,253,A
11102002001,99,159,A
14510100001,99,168,A
14103030001,99,163,A
14010019001,98,149,A
14121173001,98,136,A
14510109001,97,221,A
14011078001,97,137,A
14100001001,97,146,A
14000135001,97,141,A
10033065001,96,1106,A
14111024001,96,137,A
14111134001,96,262,A
10002906001,96,734,A
14244896001,96,690,A
10031901001,95,832,A
14805017001,95,900,A
11111033001,95,197,A
10002025001,95,253,A
10012006001,95,1146,A
10012899001,94,1496,A
10001005001,94,1926,A
10033056001,94,1500,A
14500006001,94,632,A
10022007001,94,2406,A
14620062001,93,242,A
14505105001,93,444,A
14010187001,93,192,A
14603003001,93,144,A
10021007001,93,742,A
14503034001,93,510,A
14020008001,92,149,A
14121179001,92,112,A
14613915001,92,158,A
14010030001,92,181,A
15023020001,92,2040,A
10035001001,92,512,A
14132038001,92,114,A
14001036001,91,200,A
10041085001,91,1880,A
14506490001,91,108,A
14615894001,91,181,A
14130015001,91,152,A
12201120001,91,323,A
10021019001,91,2346,A
14810012001,91,393,A
10035012001,91,1456,A
15022005001,91,3636,A
10032046001,90,2034,A
10016015001,90,2424,A
14222046001,90,135,A
11111011001,90,159,A
14104096001,90,303,A
14010049001,90,130,A
14110154001,90,229,A
14511052001,89,217,A
10031007001,89,944,A
10034020001,89,1788,A
14022029001,89,122,A
10014113001,89,1482,A
10020011001,89,2520,A
14003013001,89,106,A
10001035001,89,696,A
11050017001,89,110,A
14100021001,88,133,A
14506039001,88,158,A
10033034001,88,1528,A
14244059001,88,198,A
14010150001,88,145,A
14506015001,88,97,A
10014020001,88,1434,A
14311112001,88,224,A
14506275001,87,792,A
14022003001,87,141,A
14104126001,87,353,A
14132013001,87,118,A
10014032001,87,1908,A
10040041001,87,3072,A
14510110001,87,145,A
14810013001,87,387,A
14104085001,87,140,A
10040042001,86,284,A
14101004001,86,127,A
10021017001,86,1624,A
10040081001,86,1584,A
14501942001,86,732,A
10024011001,86,924,A
14010078001,86,156,A
14010079001,86,162,A
14111002001,86,112,A
14361100001,85,226,A
14200006001,85,158,A
14613019001,85,185,A
12201065001,85,1512,A
10033082001,85,1320,A
14601004001,85,187,A
14805005001,85,738,A
14131043001,85,128,A
14111009001,85,123,A
14613904001,84,153,A
10031011001,84,744,A
10033049001,84,406,A
12202007001,84,127,A
14352060001,83,192,A
14612900001,83,198,A
14104113001,83,116,A
10033053001,83,670,A
10040020001,83,2455,A
31473013001,83,148,A
14510057001,83,186,A
14501929001,83,550,A
12201013001,82,1230,A
12220005001,82,176,A
14011051001,82,167,A
10033027001,82,800,A
14804001001,82,648,A
14000078001,82,98,A
14111132001,81,201,A
10000021001,81,1139,A
10041040001,81,1356,A
14001009001,81,241,A
10031902001,81,952,A
10040037001,81,248,A
14104150001,81,126,A
14506084001,80,102,A
14011005001,80,114,A
10040033001,80,984,A
12201037001,80,1920,A
14501037001,80,302,A
14511056001,80,217,A
10010026001,80,1458,A
14010149001,80,172,A
11111021001,80,148,A
14504009001,80,790,A
14133901001,80,119,A
14600013001,80,109,A
15022017001,79,1806,A
14222043001,79,114,A
14615009001,79,163,A
14830005001,79,318,A
11103015001,79,207,A
14001138001,79,104,A
12120052001,79,440,A
12102140001,79,190,A
31502025001,79,152,A
10040010001,78,2202,A
10040058001,78,2172,A
11050077001,78,138,A
14615133001,78,409,A
14104079001,78,200,A
14506898001,78,470,A
10002040001,78,318,A
10030015001,78,796,A
10040040001,78,266,A
10030012001,77,443,A
11103137001,77,476,A
14506067001,77,177,A
14003054001,77,121,A
14011011001,77,134,A
15023011001,77,1338,A
14510133001,77,117,A
14023295001,77,112,A
14830001001,77,330,A
14831009001,76,645,A
14121269001,76,87,A
11061068001,76,105,A
11040021001,76,183,A
14101007001,76,116,A
14621029001,76,262,A
14500024001,76,1044,A
14111123001,76,184,A
12010110001,75,126,A
14243058001,75,133,A
11051002001,75,157,A
14022002001,75,116,A
14505046001,75,127,A
12102095001,75,161,A
14502019001,75,570,A
14105129001,75,112,A
15023013001,75,1128,A
14501058001,75,522,A
14000123001,74,94,A
10040008001,74,681,A
10014092001,74,275,A
12011033001,74,244,A
14244918001,74,143,A
10052025001,74,190,A
14311158001,74,291,A
11050020001,74,137,A
14244058001,73,113,A
14510218001,73,234,A
10040013001,73,2376,A
14011042001,73,130,A
10035006001,73,1368,A
10030018001,73,462,A
14010097001,73,88,A
14121059001,73,133,A
14020009001,72,96,A
15021003001,72,1740,A
14000021001,72,102,A
31500029001,72,156,A
10033038001,72,573,A
10031019001,72,908,A
14620042001,72,233,A
14132012001,72,129,A
14121015001,72,99,A
14111142001,72,93,A
14613900001,72,152,A
14023164001,72,94,A
14104108001,72,119,A
14510153001,71,134,A
14001030001,71,115,A
14204006001,71,112,A
14120017001,71,119,A
14111011001,71,95,A
10024010001,71,1128,A
14121022001,71,81,A
14502021001,71,258,A
10033006001,71,548,A
31531002001,71,190,A
11074015002,71,161,A
14011044001,71,100,A
14011014001,70,120,A
14510140001,70,141,A
14222095001,70,96,A
14112009001,70,91,A
14020013001,70,179,A
10033020001,70,458,A
10052020001,70,161,A
14010025001,70,132,A
14132074001,70,91,A
14021088001,70,123,A
14504012001,69,405,A
10014051001,69,1968,A
14244015001,69,92,A
14822046001,69,399,A
12220010001,69,105,A
14111143001,69,87,A
14001060001,69,232,A
11103375001,69,189,A
14204070001,69,135,A
10040022001,69,1880,A
10021021001,69,1100,A
14501031001,69,927,A
14505125001,69,445,A
11070001001,68,268,A
14241042001,68,117,A
14010098001,68,97,A
14505106001,68,392,A
14510103001,68,136,A
14500032001,68,430,A
14502002001,68,695,A
15023035001,68,2352,A
14023302001,68,114,A
14810005001,67,282,A
11103134001,67,136,A
14023003001,67,99,A
14011009001,67,99,A
10041033001,67,636,A
14023310001,67,97,A
12120094001,67,164,A
14501928001,67,640,A
12210018001,66,500,A
14200015001,66,98,A
14613906001,66,162,A
14204125001,66,207,A
14204062001,66,103,A
12121004001,66,328,A
31502006001,66,180,A
14001092001,66,139,A
14521156001,66,186,A
10033046001,66,668,A
14202001001,66,110,A
14362041001,66,155,A
10002012001,66,1494,A
15022013001,66,1116,A
14830011001,66,276,A
12301011001,66,85,A
14022167001,66,98,A
11110007001,65,192,A
14023014001,65,176,A
14502016001,65,405,A
10002072001,65,156,A
14131040001,65,93,A
11050025001,65,135,A
14204083001,65,116,A
11110008001,65,183,A
12212005001,65,264,A
14101074001,65,90,A
12212061001,65,285,A
10000022001,65,314,A
10020002001,65,753,A
11101014001,64,222,A
10040066001,64,1880,A
11070004001,64,249,A
14510199001,64,103,A
10002073001,64,828,A
14002051001,64,96,A
14511014001,64,172,A
11100008001,64,107,A
11102009001,64,113,A
14001007001,63,252,A
14830029001,63,276,A
14010012001,63,107,A
14361129001,63,108,A
14120005001,63,77,A
11101028001,63,191,A
11103007001,63,149,A
10024004001,62,1044,A
14001635001,62,112,A
14805028001,62,570,A
14001075001,62,150,A
14833003001,62,294,A
14244999001,62,80,A
12100026001,62,327,A
14501065001,62,452,A
10002069001,61,156,A
14510233001,61,163,A
10020004001,61,798,A
14620908001,61,147,A
10020033001,61,1356,A
14111008001,61,83,A
14612034001,61,102,A
10041002001,61,1457,A
10041032001,61,768,A
10032015001,61,852,A
14001135001,60,194,A
10035013001,60,872,A
10011008001,60,156,A
14023129001,60,95,A
14000018001,60,102,A
14501084001,60,395,A
14620057001,60,96,A
14612075001,60,114,A
30010002001,60,74,A
10030022001,60,832,A
15020001001,60,1446,A
10001015001,60,500,A
10030008001,60,1632,A
15020922001,60,1328,A
14120054001,60,76,A
14011929001,60,110,A
14021006001,60,94,A
14001018001,59,171,A
10030045001,59,524,A
14506070001,59,80,A
12120001001,59,340,A
14121007001,59,75,A
15023005001,59,1548,A
11051006001,59,78,A
14103155001,59,66,A
14023132001,59,95,A
10033003001,59,624,A
12201035001,59,840,A
14620021001,59,91,A
10016020001,59,500,A
12000179001,59,222,A
14613907001,59,147,A
14504038001,58,750,A
12011168001,58,190,A
14110056001,58,78,A
31501003001,58,146,A
14810017001,58,67,A
14100009001,58,94,A
10035010001,58,644,A
14001008001,58,232,A
12221006001,58,73,A
14520067001,57,152,A
30011002001,57,68,A
14370002001,57,145,A
10041004001,57,1012,A
10001008001,57,403,A
12010137001,57,71,A
14830072001,57,453,A
10040018001,57,680,A
14132157001,56,120,A
15023017001,56,2034,A
11103094001,56,194,A
14220141001,56,86,A
31533005001,56,136,A
10030049001,56,418,A
14021055001,56,86,A
14121119001,56,86,A
15023003001,56,1020,A
12201069001,56,1344,A
14243045001,56,106,A
14502047001,56,665,A
31466156001,55,101,A
14120045001,55,99,A
14001003001,55,74,A
14104086001,55,86,A
14851063001,55,160,A
14011004001,55,83,A
14830045001,55,258,A
10020015001,55,1062,A
10021015001,55,1124,A
14223018001,55,73,A
11021071001,55,103,A
14102026001,54,136,A
14700026001,54,89,A
14510123001,54,160,A
14111038001,54,88,A
14832052001,54,264,A
10021034001,54,643,A
10303002001,54,1359,A
10032014001,54,776,A
10041039001,54,588,A
12201005001,54,972,A
14502020001,54,740,A
14001033001,54,85,A
14353011001,53,231,A
10000013001,53,1392,A
14502080001,53,440,A
14612088001,53,141,A
14242133001,53,72,A
14242131001,53,93,A
12103027001,53,408,A
31567031001,53,151,A
14805899001,53,1188,A
11100001001,53,137,A
14104151001,53,78,A
14000050001,53,67,A
14204132001,53,116,A
14023149001,53,68,A
12201898001,53,1262,A
11070007001,52,263,A
14020976001,52,74,A
65106030001,52,67,A
14023115001,52,69,A
14121006001,52,73,A
14312999001,52,89,A
14133905001,52,102,A
14506066001,52,88,A
14204086001,52,127,A
14244053001,52,117,A
14000061001,52,68,A
14010199001,52,64,A
10000027001,52,696,A
14244028001,51,75,A
10040027001,51,1980,A
14243044001,51,98,A
14506049001,51,93,A
14620999001,51,112,A
14506099001,51,72,A
14200087001,51,68,A
12010234001,51,60,A
12011412001,51,134,A
14014013001,51,76,A
14230432001,51,78,A
14001145001,51,121,A
14121004001,51,64,A
12212035001,51,72,A
14243046001,50,125,A
12201049001,50,1200,A
14010062001,50,121,A
14830026001,50,195,A
14201021001,50,90,A
15024014001,50,822,A
14851007001,50,75,A
10031012001,50,588,A
14506142001,50,224,A
14111031001,50,68,A
14243042001,50,100,A
14633900001,50,74,A
14506100001,50,432,A
10001043001,50,696,A
14110024001,50,61,A
14370003001,50,174,A
14010029001,50,77,A
11050012001,50,88,A
14022012001,50,55,A
14102115001,50,70,A
10041006001,50,724,A
14522051001,50,122,A
14102182001,49,56,A
14505008001,49,395,A
14822063001,49,498,A
12200017001,49,882,A
12123086001,49,198,A
14001104001,49,66,A
14243043001,49,67,A
10040002001,49,1248,A
14361026001,49,70,A
14111029001,48,60,A
14023034001,48,63,A
14103057001,48,99,A
14311135001,48,90,A
14002013001,48,76,A
14360022001,48,76,A
14010055001,48,82,A
14001073001,48,64,A
10020020001,48,429,A
14841001001,48,312,A
14616001001,48,76,A
14204065001,48,111,A
14831008001,48,201,A
10021010001,48,696,A
14220002001,48,57,A
10022011001,47,114,A
11101055001,47,129,A
14222070001,47,89,A
14204131001,47,122,A
14501002001,47,400,A
14610004001,47,122,A
14506060001,47,56,A
14240005001,47,85,A
10033001001,47,1320,A
14022086001,47,79,A
14111025001,47,78,A
14011027001,47,60,A
12123077001,47,100,A
14010068001,47,72,A
12001049001,47,54,A
14130013001,47,96,A
12105009001,47,86,A
12221003001,47,119,A
14601031001,47,81,A
14361010001,47,73,A
14023307001,47,87,A
10030005001,47,272,A
10041034001,46,560,A
14242151001,46,54,A
14222042001,46,63,A
14202021001,46,64,A
14104090001,46,65,A
11103317001,46,170,A
14510098001,46,101,A
14315016001,46,102,A
12122052001,46,164,A
14620894001,46,171,A
14822049001,46,83,A
14841003001,46,84,A
14615082001,46,113,A
14832054001,46,222,A
14503048001,46,83,A
11071898001,46,104,A
14610001001,45,109,A
14500012001,45,112,A
14502003001,45,525,A
14112038001,45,59,A
14506143001,45,200,A
31567018001,45,133,A
14506005001,45,70,A
14830073001,45,363,A
14522050001,45,112,A
14303933001,45,53,A
10015008001,45,151,A
14023126001,45,114,A
14510127001,45,75,A
14503024001,45,98,A
14315017001,45,102,A
31500015001,45,119,A
10012907001,45,546,A
14223176001,45,60,A
11111019001,45,73,A
12011075001,45,69,A
10040048001,45,585,A
14633935001,45,79,A
14223080001,45,67,A
14303048001,44,57,B
12103008001,44,51,B
14601030001,44,75,B
10041003001,44,708,B
10040009001,44,528,B
14361082001,44,75,B
14600011001,44,55,B
14522049001,44,134,B
14013002001,44,65,B
14851072001,44,122,B
14616054001,44,74,B
14505911001,44,678,B
14510101001,44,72,B
12011113001,43,85,B
14506159001,43,49,B
10016014001,43,1236,B
14204021001,43,104,B
14833013001,43,61,B
14132071001,43,80,B
14633039001,43,64,B
12106001001,43,308,B
