order_id,order_arrival,process_start_time,order_complete_time,station_id
131,3180,3264,4230,picker-2
117,2760,3873,4240,picker-4
66,1680,1865,4249,picker-4
169,3840,3967,4264,picker-2
120,2820,3451,4269,picker-4
136,3360,3515,4277,picker-2
147,3540,3558,4278,picker-4
41,1140,3030,4290,picker-2
167,3780,3864,4306,picker-1
123,2880,2925,4309,picker-4
156,3600,3902,4320,picker-3
140,3420,3712,4343,picker-3
122,2880,4054,4359,picker-4
160,3660,3812,4374,picker-3
-39,0,3880,4386,picker-3
55,1500,4181,4416,picker-4
76,1920,3838,4438,picker-1
168,3840,3921,4470,picker-3
125,2940,3852,4479,picker-3
132,3180,3290,4513,picker-2
142,3420,3941,4514,picker-1
145,3480,4279,4532,picker-4
124,2940,4278,4563,picker-2
163,3720,4039,4567,picker-3
146,3540,4291,4588,picker-2
149,3540,4360,4617,picker-4
153,3600,4068,4622,picker-1
150,3540,4185,4645,picker-3
135,3360,3985,4650,picker-1
173,4140,4344,4710,picker-3
157,3600,4439,4743,picker-1
143,3480,3856,4761,picker-1
151,3540,3946,4816,picker-2
166,3780,4514,4843,picker-2
196,4560,4564,4855,picker-2
159,3660,3923,4872,picker-1
164,3720,4307,4885,picker-1
177,4200,4231,4889,picker-2
178,4260,4321,4906,picker-3
193,4500,4568,4906,picker-3
195,4560,4618,4942,picker-4
198,4560,4623,4955,picker-1
98,2340,4265,4966,picker-2
172,4080,4375,4999,picker-3
170,3960,4078,5019,picker-4
189,4500,4646,5027,picker-3
174,4200,4241,5037,picker-4
171,4020,4310,5072,picker-4
138,3360,4270,5079,picker-4
158,3660,4480,5081,picker-3
192,4500,4533,5086,picker-4
184,4440,4471,5112,picker-3
111,2580,3607,5116,picker-1
152,3600,4031,5121,picker-2
185,4440,4515,5157,picker-1
176,4200,4250,5164,picker-4
205,4740,4907,5203,picker-3
203,4680,4711,5213,picker-3
199,4620,4844,5228,picker-2
211,4800,4943,5228,picker-4
186,4440,4886,5243,picker-1
206,4740,4907,5321,picker-3
208,4740,4744,5338,picker-1
217,4980,5000,5339,picker-3
181,4320,5020,5357,picker-4
204,4680,4762,5401,picker-1
197,4560,4873,5410,picker-1
179,4260,5080,5446,picker-4
214,4860,5122,5471,picker-2
202,4680,4856,5494,picker-2
187,4440,5117,5505,picker-1
190,4500,4890,5554,picker-2
221,5100,5214,5558,picker-3
191,4500,5082,5565,picker-3
194,4560,4651,5567,picker-1
201,4620,5322,5593,picker-3
234,5340,5340,5615,picker-3
154,3600,4387,5655,picker-3
231,5280,5402,5657,picker-1
213,4860,5113,5667,picker-3
236,5400,5411,5779,picker-1
239,5460,5495,5800,picker-2
180,4320,4967,5824,picker-2
220,5100,5165,5874,picker-4
243,5520,5559,5921,picker-3
229,5280,5566,5932,picker-3
227,5220,5339,5943,picker-1
215,4920,5158,5954,picker-1
253,5640,5658,5982,picker-1
223,5160,5447,5985,picker-4
218,5040,5073,6000,picker-4
210,4800,5568,6061,picker-1
228,5220,5668,6072,picker-3
246,5580,5616,6080,picker-3
182,4380,4956,6092,picker-1
216,4920,5204,6093,picker-3
248,5580,5594,6100,picker-3
224,5160,5875,6108,picker-4
183,4380,4417,6114,picker-4
200,4620,5244,6139,picker-1
219,5040,5087,6158,picker-4
230,5280,5506,6178,picker-1
260,5880,5922,6186,picker-3
212,4860,5038,6191,picker-4
247,5580,5656,6215,picker-3
188,4500,5230,6258,picker-4
237,5400,5472,6279,picker-2
241,5520,5555,6304,picker-2
175,4200,4589,6344,picker-2
268,6120,6140,6346,picker-1
266,6000,6081,6346,picker-3
233,5340,5825,6403,picker-2
165,3720,4135,6427,picker-2
240,5520,6216,6461,picker-3
242,5520,5801,6485,picker-2
226,5220,6093,6503,picker-1
270,6180,6187,6526,picker-3
235,5400,6159,6533,picker-4
271,6240,6280,6543,picker-2
265,6000,6001,6550,picker-4
274,6300,6305,6557,picker-2
277,6300,6347,6626,picker-1
225,5220,5986,6641,picker-4
273,6240,6259,6641,picker-4
251,5640,5933,6642,picker-3
275,6300,6404,6646,picker-2
269,6180,6192,6651,picker-4
284,6360,6462,6678,picker-3
258,5760,6115,6686,picker-4
283,6360,6504,6782,picker-1
209,4740,5028,6798,picker-3
282,6300,6428,6799,picker-2
267,6120,6179,6834,picker-1
261,5880,6109,6837,picker-4
298,6660,6679,6884,picker-3
244,5520,6652,6928,picker-4
222,5160,5229,6969,picker-2
280,6300,6345,7010,picker-2
295,6600,6643,7015,picker-3
305,6720,6799,7028,picker-3
301,6720,6783,7047,picker-1
250,5640,6544,7060,picker-2
279,6300,6348,7075,picker-3
308,6780,6800,7087,picker-2
252,5640,6558,7102,picker-2
286,6480,6835,7115,picker-1
296,6600,6627,7126,picker-1
257,5760,5983,7140,picker-1
300,6660,6687,7158,picker-4
264,6000,6062,7176,picker-1
287,6480,6527,7183,picker-3
256,5700,5955,7203,picker-1
288,6480,6885,7211,picker-3
263,5940,5944,7222,picker-1
302,6720,6838,7247,picker-4
259,5760,6094,7272,picker-3
294,6600,6642,7282,picker-4
207,4740,4817,7341,picker-2
285,6420,6534,7359,picker-4
315,7080,7116,7369,picker-1
309,6900,6929,7376,picker-4
254,5700,6551,7419,picker-4
278,6300,7016,7504,picker-3
249,5640,7273,7521,picker-3
289,6480,7184,7574,picker-3
307,6780,7088,7575,picker-2
321,7140,7248,7610,picker-4
320,7140,7223,7612,picker-1
292,6540,7029,7615,picker-3
312,6960,7141,7629,picker-1
303,6720,7076,7639,picker-3
297,6660,7377,7639,picker-4
255,5700,6101,7676,picker-3
299,6660,7048,7688,picker-1
330,7320,7420,7703,picker-4
290,6540,6642,7722,picker-4
328,7320,7522,7727,picker-3
272,6240,7127,7740,picker-1
306,6780,6970,7741,picker-2
316,7080,7505,7751,picker-3
317,7080,7212,7757,picker-3
327,7260,7360,7765,picker-4
318,7080,7103,7775,picker-2
337,7500,7575,7782,picker-3
311,6960,7061,7783,picker-2
314,7080,7204,7813,picker-1
276,6300,6486,7822,picker-2
324,7200,7342,7846,picker-2
293,6540,6647,7871,picker-2
291,6540,7370,7882,picker-1
346,7620,7630,7898,picker-1
345,7620,7689,7898,picker-1
319,7080,7613,7922,picker-1
331,7380,7641,7923,picker-4
310,6960,7159,7930,picker-4
304,6720,7011,7935,picker-2
349,7680,7704,7940,picker-4
338,7560,7742,7950,picker-2
281,6300,7283,7955,picker-4
333,7440,7741,7961,picker-1
322,7140,7576,7976,picker-2
238,5460,5780,7993,picker-1
342,7620,7640,8006,picker-3
351,7740,7814,8046,picker-1
245,5580,7177,8053,picker-1
336,7500,7723,8058,picker-4
347,7620,7677,8074,picker-3
343,7620,7766,8089,picker-4
340,7560,7616,8092,picker-3
329,7320,7883,8099,picker-1
332,7440,7899,8113,picker-1
352,7800,7924,8121,picker-4
323,7200,7783,8154,picker-3
339,7560,7899,8173,picker-1
354,7860,7872,8177,picker-2
350,7740,7752,8183,picker-3
313,7020,7758,8190,picker-3
362,7980,7994,8208,picker-1
262,5940,6073,8211,picker-3
356,7920,7941,8254,picker-4
360,7980,7982,8254,picker-4
357,7980,8007,8262,picker-3
353,7800,7931,8265,picker-4
334,7500,7728,8300,picker-3
335,7500,7611,8301,picker-4
341,7620,7776,8327,picker-2
365,8100,8100,8339,picker-1
370,8160,8162,8359,picker-4
372,8160,8162,8372,picker-4
367,8100,8101,8379,picker-3
358,7980,7981,8387,picker-2
344,7620,7784,8396,picker-2
371,8160,8161,8417,picker-3
326,7200,7823,8428,picker-2
366,8100,8101,8434,picker-3
368,8100,8102,8435,picker-4
355,7920,7936,8436,picker-2
325,7200,7847,8443,picker-2
363,8040,8047,8455,picker-1
359,7980,7981,8463,picker-2
373,8220,8220,8466,picker-1
377,8400,8400,8510,picker-2
376,8400,8400,8540,picker-2
375,8340,8340,8556,picker-1
374,8340,8340,8567,picker-1
378,8460,8461,8635,picker-2
381,8460,8461,8649,picker-2
379,8460,8461,8649,picker-2
383,8520,8520,8651,picker-1
369,8160,8160,8660,picker-1
380,8460,8461,8695,picker-2
392,8640,8641,8729,picker-3
387,8580,8581,8766,picker-2
364,8040,8054,8767,picker-1
391,8640,8640,8839,picker-2
386,8580,8580,8882,picker-1
390,8640,8652,8893,picker-1
385,8580,8580,8908,picker-1
397,8820,8822,8931,picker-3
394,8700,8700,8938,picker-1
382,8460,8460,8998,picker-1
398,8820,8821,9003,picker-2
399,8820,8820,9012,picker-1
384,8580,8581,9019,picker-2
348,7680,7923,9075,picker-1
389,8640,8640,9082,picker-2
396,8760,8760,9122,picker-2
388,8580,8581,9131,picker-2
409,9180,9180,9257,picker-2
410,9180,9180,9281,picker-2
413,9240,9241,9336,picker-3
415,9240,9241,9382,picker-3
402,8940,8940,9398,picker-1
414,9240,9241,9402,picker-3
416,9300,9301,9449,picker-3
412,9240,9240,9472,picker-2
408,9180,9180,9478,picker-2
406,9120,9120,9496,picker-1
400,8940,8940,9502,picker-1
419,9360,9360,9522,picker-3
418,9300,9300,9526,picker-2
420,9360,9360,9535,picker-3
403,8940,8940,9568,picker-1
401,8940,8940,9576,picker-1
417,9300,9300,9603,picker-2
407,9180,9180,9606,picker-2
404,9060,9060,9613,picker-1
424,9600,9600,9721,picker-1
411,9180,9180,9726,picker-2
423,9600,9600,9734,picker-1
422,9600,9600,9748,picker-1
429,9720,9721,9819,picker-2
426,9720,9720,9832,picker-1
421,9540,9540,9892,picker-1
431,9780,9780,9925,picker-1
432,9780,9780,9947,picker-1
428,9720,9721,9989,picker-2
430,9720,9721,9998,picker-2
433,9840,9840,9999,picker-1
434,9900,9900,10046,picker-1
435,9900,9900,10056,picker-1
437,9960,9960,10088,picker-1
427,9720,9721,10176,picker-2
439,10080,10080,10183,picker-1
441,10080,10081,10193,picker-2
438,10080,10080,10200,picker-1
440,10080,10080,10209,picker-1
445,10140,10140,10241,picker-1
425,9660,9660,10247,picker-1
443,10140,10141,10300,picker-2
451,10260,10260,10399,picker-1
450,10260,10260,10424,picker-1
447,10200,10202,10426,picker-2
446,10200,10201,10464,picker-1
449,10200,10200,10471,picker-1
448,10200,10202,10472,picker-2
452,10320,10320,10499,picker-1
454,10440,10440,10594,picker-1
455,10440,10440,10600,picker-1
458,10500,10500,10610,picker-1
456,10440,10441,10642,picker-2
453,10380,10380,10649,picker-2
457,10440,10441,10700,picker-2
442,10140,10141,10707,picker-2
464,10680,10680,10789,picker-2
465,10680,10680,10789,picker-2
467,10740,10740,10874,picker-2
461,10620,10620,10879,picker-1
466,10740,10740,10912,picker-2
471,10860,10861,10959,picker-3
468,10740,10740,10982,picker-2
470,10860,10861,11014,picker-3
469,10860,10860,11063,picker-2
459,10560,10560,11074,picker-1
462,10620,10620,11095,picker-1
473,10920,10920,11095,picker-1
472,10860,10860,11097,picker-2
463,10620,10620,11102,picker-1
480,10980,10980,11182,picker-3
479,10980,10980,11211,picker-3
481,11040,11040,11214,picker-2
474,10920,10921,11271,picker-2
475,10920,10921,11297,picker-2
483,11040,11041,11359,picker-3
477,10980,10980,11419,picker-3
482,11040,11041,11427,picker-3
486,11160,11160,11427,picker-1
484,11160,11162,11433,picker-3
489,11160,11161,11473,picker-2
487,11160,11160,11477,picker-1
490,11220,11220,11488,picker-2
478,10980,11075,11496,picker-1
485,11160,11160,11517,picker-1
488,11160,11161,11518,picker-2
491,11220,11221,11606,picker-3
492,11220,11221,11641,picker-3
498,11460,11461,11681,picker-3
497,11460,11461,11700,picker-3
495,11340,11340,11702,picker-2
494,11280,11281,11728,picker-4
499,11460,11460,11737,picker-1
493,11280,11280,11757,picker-2
505,11640,11640,11785,picker-2
509,11760,11760,11881,picker-1
506,11700,11700,11896,picker-2
508,11760,11761,11932,picker-2
503,11640,11640,11938,picker-2
510,11820,11820,11950,picker-2
504,11640,11701,11969,picker-3
501,11520,11520,11975,picker-1
507,11760,11761,11992,picker-2
511,11940,11940,12012,picker-1
502,11580,11580,12025,picker-1
476,10980,10980,12027,picker-3
500,11520,11520,12062,picker-1
512,12000,12001,12089,picker-2
520,12120,12121,12193,picker-2
518,12120,12121,12231,picker-2
517,12120,12120,12237,picker-1
514,12060,12060,12252,picker-1
516,12060,12060,12259,picker-1
523,12180,12181,12332,picker-3
522,12180,12181,12341,picker-3
515,12060,12061,12384,picker-2
519,12120,12121,12396,picker-2
521,12180,12180,12396,picker-2
527,12300,12300,12410,picker-1
529,12360,12361,12464,picker-2
531,12480,12480,12553,picker-2
532,12480,12480,12562,picker-2
528,12360,12360,12593,picker-1
530,12420,12420,12652,picker-1
534,12540,12540,12681,picker-2
537,12660,12660,12755,picker-1
535,12600,12601,12836,picker-2
540,12720,12721,12854,picker-3
460,10560,10560,12869,picker-1
524,12240,12721,12876,picker-3
525,12240,12721,12876,picker-1
542,12840,12842,12922,picker-3
543,12840,12855,12943,picker-3
544,12840,12841,12960,picker-2
533,12540,12540,12983,picker-2
539,12720,12720,13002,picker-2
545,12900,12900,13005,picker-1
541,12720,12720,13019,picker-2
550,12960,12961,13074,picker-2
546,12900,12900,13082,picker-1
556,13140,13141,13209,picker-2
555,13140,13140,13228,picker-1
547,12960,12960,13244,picker-3
549,12960,12960,13255,picker-3
557,13200,13200,13308,picker-2
554,13140,13140,13320,picker-1
559,13260,13261,13352,picker-2
558,13260,13260,13446,picker-1
552,13080,13441,13550,picker-3
565,13440,13442,13570,picker-4
551,13020,13441,13572,picker-3
562,13380,13381,13606,picker-2
561,13320,13320,13619,picker-2
564,13440,13440,13656,picker-2
566,13500,13500,13669,picker-1
568,13560,13560,13678,picker-4
553,13080,13551,13691,picker-3
567,13500,13501,13696,picker-4
560,13320,13320,13756,picker-2
563,13380,13380,13790,picker-1
575,13680,13682,13874,picker-3
577,13680,13683,13882,picker-4
570,13620,13620,13908,picker-2
571,13680,13683,13910,picker-4
576,13680,13681,13926,picker-2
572,13680,13683,13934,picker-4
574,13680,13681,13940,picker-2
569,13560,13560,13968,picker-4
579,13740,13740,13979,picker-3
580,13800,13800,13986,picker-1
573,13680,13683,13993,picker-4
582,13860,13860,14004,picker-4
581,13800,13801,14023,picker-2
586,13980,13981,14056,picker-3
585,13980,13980,14060,picker-2
583,13920,13920,14069,picker-2
584,13980,13980,14081,picker-2
590,14040,14041,14101,picker-2
589,14040,14043,14118,picker-4
588,14040,14042,14138,picker-3
595,14160,14161,14306,picker-3
592,14100,14101,14318,picker-3
596,14160,14162,14325,picker-4
599,14220,14220,14341,picker-4
587,14040,14040,14380,picker-1
600,14280,14280,14454,picker-4
601,14340,14340,14507,picker-3
602,14340,14341,14549,picker-4
605,14400,14401,14564,picker-4
593,14100,14100,14572,picker-2
604,14400,14400,14580,picker-1
597,14160,14160,14597,picker-2
609,14460,14508,14627,picker-3
607,14460,14460,14668,picker-4
608,14460,14460,14737,picker-4
610,14460,14628,14808,picker-3
617,14580,14581,14870,picker-1
623,14700,14738,14924,picker-4
611,14520,14550,14998,picker-4
615,14580,14598,15029,picker-2
619,14640,14871,15046,picker-1
612,14520,14520,15100,picker-4
618,14640,14669,15109,picker-4
594,14100,14100,15123,picker-2
629,14820,14925,15134,picker-4
626,14760,14999,15155,picker-4
637,15000,15047,15173,picker-1
613,14520,14565,15200,picker-4
641,15060,15110,15242,picker-4
631,14880,15101,15284,picker-4
625,14760,15030,15340,picker-2
632,14880,15156,15407,picker-4
614,14520,14809,15438,picker-3
628,14820,15135,15443,picker-4
636,15000,15243,15500,picker-4
643,15120,15285,15500,picker-4
606,14460,14460,15516,picker-4
627,14820,15174,15547,picker-1
634,14940,15444,15606,picker-4
616,14580,14580,15635,picker-2
624,14760,15548,15704,picker-1
622,14700,15517,15798,picker-4
647,15300,15636,15818,picker-2
650,15420,15501,15824,picker-4
648,15420,15501,15922,picker-4
620,14640,15341,15965,picker-2
654,15660,15705,16084,picker-1
633,14880,15439,16100,picker-3
652,15600,15825,16189,picker-4
638,15000,15408,16198,picker-4
658,15840,16085,16233,picker-1
656,15780,15923,16237,picker-4
653,15660,15799,16269,picker-4
630,14820,15607,16276,picker-4
667,16080,16190,16322,picker-4
659,15900,16234,16387,picker-1
664,16020,16199,16409,picker-4
681,16380,16388,16506,picker-1
679,16320,16323,16535,picker-4
680,16380,16507,16618,picker-1
677,16320,16410,16629,picker-4
670,16200,16277,16648,picker-4
672,16260,16270,16653,picker-4
651,15600,15819,16657,picker-2
676,16320,16630,16698,picker-4
645,15240,16536,16719,picker-4
674,16320,16619,16721,picker-1
660,15900,16649,16731,picker-4
685,16440,16654,16748,picker-4
687,16440,16699,16772,picker-4
661,15960,15966,16784,picker-2
649,15420,16785,16895,picker-2
691,16500,16732,16968,picker-4
694,16620,16896,16985,picker-2
692,16560,16720,16995,picker-4
675,16320,16773,17028,picker-4
706,16920,16969,17037,picker-4
665,16080,17029,17110,picker-4
684,16440,17038,17153,picker-4
708,17040,17111,17178,picker-4
695,16680,17154,17278,picker-4
668,16140,17179,17290,picker-4
699,16800,17279,17380,picker-4
705,16920,17291,17401,picker-4
721,17220,17381,17450,picker-4
702,16920,17451,17568,picker-4
662,16020,16996,17577,picker-4
739,17520,17569,17633,picker-4
725,17280,17634,17723,picker-4
657,15840,17402,17733,picker-4
746,17700,17724,17806,picker-4
726,17280,17734,17819,picker-4
742,17580,17820,17985,picker-4
758,17940,17986,18056,picker-4
736,17520,18057,18153,picker-4
741,17580,17807,18162,picker-4
749,17760,18154,18229,picker-4
719,17220,18163,18284,picker-4
733,17400,18230,18306,picker-4
764,18120,18285,18384,picker-4
711,17040,18307,18407,picker-4
714,17100,18385,18518,picker-4
769,18180,18408,18554,picker-4
713,17100,18519,18571,picker-4
773,18420,18572,18649,picker-4
783,18540,18555,18659,picker-4
790,18660,18660,18748,picker-4
788,18600,18749,18849,picker-4
802,18840,18850,18930,picker-4
798,18780,18931,18983,picker-4
805,18900,18984,19049,picker-4
808,19020,19050,19153,picker-4
804,18900,19154,19224,picker-4
819,19200,19225,19306,picker-4
813,19080,19307,19400,picker-4
831,19380,19401,19478,picker-4
836,19440,19479,19526,picker-4
776,18480,19527,19633,picker-4
810,19080,19634,19749,picker-4
846,19680,19750,19953,picker-4
815,19140,19954,20051,picker-4
