sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
69,-88,1,460,2,0,picker-2,,1,,4098.0
70,-87,1,115,6,0,picker-2,,1,0.0,394.0
71,-87,1,64,7,0,picker-2,,1,0.0,296.0
72,-87,1,36,10,0,picker-2,,1,0.0,481.0
73,-87,1,382,1,0,picker-2,,1,0.0,1953.0
74,-87,1,486,1,0,picker-2,,1,0.0,2015.0
75,-87,1,1089,1,0,picker-2,,1,0.0,1105.0
76,-87,1,22,1,0,picker-2,,1,0.0,748.0
77,-87,1,383,1,0,picker-2,,1,0.0,251.0
78,-87,1,43,8,0,picker-2,,1,0.0,96.0
79,-87,1,3461,2,0,picker-2,,1,0.0,1373.0
80,-87,1,11,8,0,picker-2,,1,0.0,151.0
81,-87,1,346,6,0,picker-2,,1,0.0,529.0
82,-87,1,29,7,0,picker-2,,1,0.0,763.0
83,-86,1,1485,2,0,picker-1,,1,,3488.0
84,-85,1,233,2,0,picker-4,,1,,842.0
85,-84,1,389,3,0,picker-4,,1,,2191.0
86,-84,1,3600,3,0,picker-4,,1,,2202.0
87,-84,1,164,12,0,picker-4,,1,,2163.0
88,-83,1,991,1,0,picker-3,,1,,5568.0
89,-83,1,615,6,0,picker-3,,1,,5297.0
90,-82,1,1060,4,0,picker-5,,1,,532.0
91,-82,1,291,2,0,picker-5,,1,,492.0
92,-82,1,1563,1,0,picker-5,,1,,549.0
93,-82,1,714,9,0,picker-5,,1,,316.0
94,-82,1,794,1,0,picker-5,,1,,712.0
95,-82,1,1199,4,0,picker-5,,1,,626.0
96,-82,1,863,2,0,picker-5,,1,,482.0
97,-82,1,8,6,0,picker-5,,1,,424.0
98,-81,1,127,12,0,picker-5,,1,,226.0
99,-80,1,24,12,0,picker-1,,1,0.0,193.0
100,-80,1,1125,1,0,picker-1,,1,0.0,1450.0
101,-80,1,238,1,0,picker-1,,1,0.0,653.0
102,-80,1,915,2,0,picker-1,,1,0.0,1193.0
103,-80,1,1653,1,0,picker-1,,1,0.0,1726.0
104,-80,1,26,6,0,picker-1,,1,0.0,164.0
105,-80,1,47,10,0,picker-1,,1,0.0,101.0
106,-80,1,2452,3,0,picker-1,,1,0.0,1063.0
107,-80,1,1694,5,0,picker-1,,1,0.0,628.0
108,-80,1,3452,2,0,picker-1,,1,0.0,1335.0
109,-80,1,1025,1,0,picker-1,,1,0.0,1668.0
110,-80,1,70,8,0,picker-1,,1,0.0,74.0
111,-80,1,1358,3,0,picker-1,,1,0.0,611.0
112,-80,1,126,5,0,picker-1,,1,0.0,785.0
113,-80,1,838,3,0,picker-1,,1,0.0,487.0
114,-80,1,282,5,0,picker-1,,1,0.0,265.0
115,-80,1,2478,4,0,picker-1,,1,0.0,749.0
116,-80,1,305,2,0,picker-1,,1,0.0,1182.0
117,-80,1,56,8,0,picker-1,,1,0.0,220.0
118,-80,1,3642,1,0,picker-1,,1,0.0,1708.0
119,-80,1,1,8,0,picker-1,,1,0.0,74.0
120,-79,1,2064,4,0,picker-3,,1,0.0,766.0
121,-79,1,294,5,0,picker-3,,1,0.0,283.0
122,-79,1,5,11,0,picker-3,,1,0.0,202.0
123,-79,1,1884,4,0,picker-3,,1,0.0,743.0
124,-79,1,1980,3,0,picker-3,,1,0.0,891.0
125,-78,1,2415,6,0,picker-1,,1,,2230.0
126,-77,1,3882,5,0,picker-2,,1,0.0,888.0
127,-77,1,3902,4,0,picker-2,,1,0.0,748.0
128,-77,1,68,6,0,picker-2,,1,0.0,501.0
129,-77,1,1717,2,0,picker-2,,1,0.0,1448.0
130,-77,1,70,8,0,picker-2,,1,0.0,775.0
131,-77,1,335,3,0,picker-2,,1,0.0,1116.0
132,-77,1,346,5,0,picker-2,,1,0.0,529.0
133,-77,1,31,12,0,picker-2,,1,0.0,251.0
134,-77,1,46,8,0,picker-2,,1,0.0,151.0
135,-77,1,1751,1,0,picker-2,,1,0.0,1672.0
136,-77,1,105,11,0,picker-2,,1,0.0,96.0
137,-77,1,9,12,0,picker-2,,1,0.0,362.0
138,-77,1,476,5,0,picker-2,,1,0.0,545.0
139,-77,1,1031,1,0,picker-2,,1,0.0,501.0
140,-77,1,2235,2,0,picker-2,,1,0.0,529.0
141,-77,1,2284,1,0,picker-2,,1,0.0,1966.0
142,-77,1,1315,1,0,picker-2,,1,0.0,2129.0
143,-77,1,23,11,0,picker-2,,1,0.0,96.0
144,-77,1,1382,1,0,picker-2,,1,0.0,362.0
145,-76,1,17,11,0,picker-1,,1,0.0,101.0
146,-76,1,1797,9,0,picker-1,,1,0.0,586.0
147,-76,1,874,1,0,picker-1,,1,0.0,464.0
148,-76,1,4010,3,0,picker-1,,1,0.0,1101.0
149,-76,1,482,4,0,picker-1,,1,0.0,284.0
150,-76,1,5,7,0,picker-1,,1,0.0,487.0
151,-76,1,460,7,0,picker-1,,1,0.0,1468.0
152,-76,1,954,1,0,picker-1,,1,0.0,525.0
153,-76,1,382,1,0,picker-1,,1,0.0,1577.0
154,-76,1,249,1,0,picker-1,,1,0.0,193.0
155,-76,1,332,4,0,picker-1,,1,0.0,574.0
156,-76,1,282,2,0,picker-1,,1,0.0,265.0
157,-76,1,62,12,0,picker-1,,1,0.0,243.0
158,-76,1,103,9,0,picker-1,,1,0.0,525.0
159,-76,1,2300,2,0,picker-1,,1,0.0,1239.0
160,-76,1,418,2,0,picker-1,,1,0.0,1441.0
161,-75,1,433,6,0,picker-4,,1,,533.0
162,-74,1,305,2,0,picker-3,,1,,2166.0
163,-74,1,136,5,0,picker-3,,1,,1569.0
164,-74,1,1410,3,0,picker-3,,1,,1984.0
165,-74,1,88,12,0,picker-3,,1,,1586.0
166,-74,1,2636,4,0,picker-3,,1,,1991.0
167,-74,1,300,3,0,picker-3,,1,,2110.0
168,-74,1,4343,10,0,picker-3,,1,,1690.0
169,-74,1,713,12,0,picker-3,,1,,1569.0
170,-74,1,923,2,0,picker-3,,1,,2160.0
171,-74,1,827,1,0,picker-3,,1,,1765.0
172,-74,1,26,12,0,picker-3,,1,,1542.0
173,-74,1,465,7,0,picker-3,,1,,1642.0
174,-74,1,6,1,0,picker-3,,1,,1978.0
175,-74,1,0,2,0,picker-3,,1,,1542.0
176,-73,1,4,8,0,picker-4,,1,0.0,57.0
177,-73,1,173,9,0,picker-4,,1,0.0,45.0
178,-73,1,429,1,0,picker-4,,1,0.0,70.0
179,-72,1,354,2,0,picker-3,,1,0.0,1061.0
180,-72,1,1060,3,0,picker-3,,1,0.0,88.0
181,-72,1,59,5,0,picker-3,,1,0.0,714.0
182,-72,1,619,1,0,picker-3,,1,0.0,259.0
183,-72,1,199,10,0,picker-3,,1,0.0,504.0
184,-72,1,336,4,0,picker-3,,1,0.0,618.0
185,-72,1,182,12,0,picker-3,,1,0.0,412.0
186,-72,1,15,12,0,picker-3,,1,0.0,67.0
187,-72,1,140,5,0,picker-3,,1,0.0,223.0
188,-72,1,749,10,0,picker-3,,1,0.0,696.0
189,-72,1,2165,7,0,picker-3,,1,0.0,587.0
190,-72,1,160,12,0,picker-3,,1,0.0,119.0
191,-72,1,5,6,0,picker-3,,1,0.0,202.0
192,-72,1,386,5,0,picker-3,,1,0.0,597.0
193,-72,1,233,1,0,picker-3,,1,0.0,597.0
194,-72,1,158,9,0,picker-3,,1,0.0,312.0
195,-72,1,1475,9,0,picker-3,,1,0.0,577.0
196,-72,1,554,11,0,picker-3,,1,0.0,476.0
197,-72,1,129,10,0,picker-3,,1,0.0,490.0
198,-72,1,20,1,0,picker-3,,1,0.0,1181.0
199,-71,1,314,1,0,picker-1,,1,,3614.0
200,-71,1,61,5,0,picker-1,,1,,2967.0
201,-70,1,843,1,0,picker-5,,1,,1830.0
202,-70,1,375,3,0,picker-5,,1,,1749.0
203,-70,1,62,7,0,picker-5,,1,,1729.0
204,-70,1,91,8,0,picker-5,,1,,1740.0
205,-70,1,259,2,0,picker-5,,1,,1782.0
206,-69,1,193,11,0,picker-5,,1,,549.0
207,-68,1,1642,1,0,picker-2,,1,0.0,296.0
208,-68,1,22,6,0,picker-2,,1,0.0,748.0
209,-68,1,7,9,0,picker-2,,1,0.0,251.0
210,-68,1,68,6,0,picker-2,,1,0.0,501.0
211,-68,1,3,10,0,picker-2,,1,0.0,203.0
212,-68,1,331,11,0,picker-2,,1,0.0,672.0
213,-68,1,0,1,0,picker-2,,1,0.0,203.0
214,-68,1,657,5,0,picker-2,,1,0.0,394.0
215,-68,1,448,4,0,picker-2,,1,0.0,251.0
216,-68,1,2841,4,0,picker-2,,1,0.0,1081.0
217,-68,1,91,12,0,picker-2,,1,0.0,296.0
218,-68,1,498,3,0,picker-2,,1,0.0,1105.0
219,-68,1,2753,1,0,picker-2,,1,0.0,1962.0
220,-68,1,172,7,0,picker-2,,1,0.0,786.0
221,-68,1,18,3,0,picker-2,,1,0.0,96.0
222,-67,1,1997,3,0,picker-4,,1,,955.0
223,-67,1,715,11,0,picker-4,,1,,1043.0
224,-66,1,14,7,0,picker-3,,1,,1375.0
225,-65,1,597,7,0,picker-1,,1,,1999.0
226,-64,1,1376,1,0,picker-4,,1,,1131.0
227,-63,1,245,3,0,picker-1,,1,,749.0
228,-63,1,266,1,0,picker-1,,1,,1273.0
229,-62,1,322,2,0,picker-3,,1,0.0,992.0
230,-62,1,824,1,0,picker-3,,1,0.0,1106.0
231,-62,1,5,10,0,picker-3,,1,0.0,202.0
232,-61,1,1357,2,0,picker-4,,1,,1103.0
233,-60,1,1855,2,0,picker-3,,1,,1119.0
234,-59,1,1884,1,0,picker-4,,1,,1065.0
235,-58,1,175,11,0,picker-2,,1,0.0,203.0
236,-58,1,738,2,0,picker-2,,1,0.0,833.0
237,-58,1,1379,3,0,picker-2,,1,0.0,1074.0
238,-58,1,239,3,0,picker-2,,1,0.0,326.0
239,-58,1,1545,1,0,picker-2,,1,0.0,1926.0
240,-58,1,282,2,0,picker-2,,1,0.0,545.0
241,-58,1,45,8,0,picker-2,,1,0.0,455.0
242,-58,1,2136,1,0,picker-2,,1,0.0,1738.0
243,-58,1,11,8,0,picker-2,,1,0.0,151.0
244,-58,1,24,11,0,picker-2,,1,0.0,424.0
245,-58,1,37,11,0,picker-2,,1,0.0,424.0
246,-58,1,328,1,0,picker-2,,1,0.0,481.0
247,-58,1,278,3,0,picker-2,,1,0.0,763.0
248,-58,1,533,11,0,picker-2,,1,0.0,594.0
249,-58,1,161,11,0,picker-2,,1,0.0,639.0
250,-58,1,413,6,0,picker-2,,1,0.0,815.0
251,-58,1,167,4,0,picker-2,,1,0.0,938.0
252,-58,1,43,6,0,picker-2,,1,0.0,96.0
253,-58,1,1083,3,0,picker-2,,1,0.0,1179.0
254,-58,1,896,3,0,picker-2,,1,0.0,1213.0
255,-58,1,1480,3,0,picker-2,,1,0.0,296.0
256,-58,1,445,4,0,picker-2,,1,0.0,972.0
257,-58,1,1898,2,0,picker-2,,1,0.0,1369.0
258,-58,1,107,6,0,picker-2,,1,0.0,824.0
259,-58,1,1934,1,0,picker-2,,1,0.0,1533.0
260,-58,1,919,1,0,picker-2,,1,0.0,775.0
261,-57,1,1245,6,0,picker-2,,1,,13562.0
262,-56,1,247,2,0,picker-3,,1,0.0,812.0
263,-56,1,185,12,0,picker-3,,1,0.0,119.0
264,-56,1,276,3,0,picker-3,,1,0.0,241.0
265,-56,1,1470,1,0,picker-3,,1,0.0,812.0
266,-56,1,1336,1,0,picker-3,,1,0.0,88.0
267,-56,1,2318,2,0,picker-3,,1,0.0,977.0
268,-56,1,5,8,0,picker-3,,1,0.0,202.0
269,-56,1,235,1,0,picker-3,,1,0.0,618.0
270,-56,1,74,12,0,picker-3,,1,0.0,359.0
271,-56,1,9,12,0,picker-3,,1,0.0,202.0
272,-55,1,41,3,0,picker-3,,1,,803.0
273,-54,1,537,1,0,picker-5,,1,,1190.0
274,-53,1,48,6,0,picker-1,,1,,265.0
275,-53,1,3627,3,0,picker-1,,1,,464.0
276,-52,1,851,2,0,picker-5,,1,0.0,641.0
277,-52,1,72,6,0,picker-5,,1,0.0,357.0
278,-52,1,954,1,0,picker-5,,1,0.0,846.0
279,-52,1,21,6,0,picker-5,,1,0.0,112.0
280,-51,1,42,3,0,picker-3,,1,,6172.0
281,-51,1,1121,1,0,picker-3,,1,,7099.0
282,-51,1,1605,7,0,picker-3,,1,,6254.0
283,-51,1,100,12,0,picker-3,,1,,6203.0
284,-51,1,2186,10,0,picker-3,,1,,6241.0
285,-51,1,62,3,0,picker-3,,1,,6611.0
286,-51,1,2,2,0,picker-3,,1,,6568.0
287,-51,1,487,5,0,picker-3,,1,,6302.0
288,-51,1,385,2,0,picker-3,,1,,6241.0
289,-51,1,1167,2,0,picker-3,,1,,6831.0
290,-51,1,1146,1,0,picker-3,,1,,6576.0
291,-51,1,476,4,0,picker-3,,1,,6880.0
292,-51,1,229,12,0,picker-3,,1,,6172.0
293,-51,1,2231,3,0,picker-3,,1,,6792.0
294,-51,1,1793,1,0,picker-3,,1,,7106.0
295,-51,1,234,1,0,picker-3,,1,,6859.0
296,-51,1,99,11,0,picker-3,,1,,6287.0
297,-51,1,380,1,0,picker-3,,1,,6905.0
298,-50,1,58,11,0,picker-2,,1,0.0,296.0
299,-50,1,793,1,0,picker-2,,1,0.0,1623.0
300,-50,1,815,2,0,picker-2,,1,0.0,326.0
301,-50,1,372,1,0,picker-2,,1,0.0,1179.0
302,-50,1,255,2,0,picker-2,,1,0.0,455.0
303,-50,1,2027,1,0,picker-2,,1,0.0,1668.0
304,-50,1,13,5,0,picker-2,,1,0.0,362.0
305,-50,1,805,4,0,picker-2,,1,0.0,1051.0
306,-50,1,239,3,0,picker-2,,1,0.0,326.0
307,-50,1,94,12,0,picker-2,,1,0.0,394.0
308,-50,1,444,7,0,picker-2,,1,0.0,481.0
309,-50,1,3389,5,0,picker-2,,1,0.0,896.0
310,-50,1,258,2,0,picker-2,,1,0.0,1422.0
311,-50,1,350,1,0,picker-2,,1,0.0,251.0
312,-49,1,181,12,0,picker-5,,1,,1110.0
313,-49,1,3936,3,0,picker-5,,1,,1206.0
314,-49,1,493,2,0,picker-5,,1,,1321.0
315,-48,1,438,2,0,picker-5,,1,,4528.0
316,-48,1,832,1,0,picker-5,,1,,5178.0
317,-48,1,417,2,0,picker-5,,1,,4384.0
318,-48,1,1428,1,0,picker-5,,1,,5051.0
319,-47,1,28,12,0,picker-4,,1,,234.0
320,-47,1,774,11,0,picker-4,,1,,767.0
321,-47,1,15,11,0,picker-4,,1,,143.0
322,-47,1,346,1,0,picker-4,,1,,934.0
323,-47,1,2281,3,0,picker-4,,1,,723.0
324,-47,1,4,11,0,picker-4,,1,,143.0
325,-47,1,2305,1,0,picker-4,,1,,955.0
326,-47,1,1930,7,0,picker-4,,1,,496.0
327,-47,1,494,6,0,picker-4,,1,,178.0
328,-47,1,58,12,0,picker-4,,1,,353.0
329,-47,1,397,1,0,picker-4,,1,,983.0
330,-47,1,71,12,0,picker-4,,1,,212.0
331,-47,1,1663,1,0,picker-4,,1,,1005.0
332,-46,1,31,10,0,picker-5,,1,,779.0
333,-45,1,337,1,0,picker-3,,1,,2272.0
334,-44,1,1308,2,0,picker-1,,1,,1904.0
335,-44,1,81,12,0,picker-1,,1,,1797.0
336,-44,1,43,10,0,picker-1,,1,,1847.0
337,-44,1,108,10,0,picker-1,,1,,1833.0
338,-44,1,3519,4,0,picker-1,,1,,2064.0
339,-43,1,63,10,0,picker-4,,1,,655.0
340,-42,1,104,11,0,picker-5,,1,,210.0
341,-42,1,2713,5,0,picker-5,,1,,461.0
342,-41,1,518,7,0,picker-3,,1,,7688.0
343,-41,1,167,9,0,picker-3,,1,,7380.0
344,-41,1,1052,2,0,picker-3,,1,,7510.0
345,-41,1,600,12,0,picker-3,,1,,7403.0
346,-41,1,843,1,0,picker-3,,1,,7362.0
347,-41,1,872,2,0,picker-3,,1,,7815.0
348,-41,1,140,8,0,picker-3,,1,,7362.0
349,-41,1,6,2,0,picker-3,,1,,7896.0
350,-41,1,9,12,0,picker-3,,1,,7362.0
351,-41,1,3,5,0,picker-3,,1,,7701.0
352,-41,1,1321,1,0,picker-3,,1,,8402.0
353,-41,1,324,1,0,picker-3,,1,,8019.0
354,-41,1,343,3,0,picker-3,,1,,8104.0
355,-41,1,82,7,0,picker-3,,1,,7678.0
356,-40,1,21,12,0,picker-5,,1,0.0,112.0
357,-40,1,1764,6,0,picker-5,,1,0.0,390.0
358,-40,1,252,3,0,picker-5,,1,0.0,492.0
359,-40,1,1588,3,0,picker-5,,1,0.0,1007.0
360,-40,1,125,12,0,picker-5,,1,0.0,74.0
361,-39,1,2217,4,0,picker-4,,1,,671.0
362,-39,1,69,7,0,picker-4,,1,,476.0
363,-39,1,18,6,0,picker-4,,1,,333.0
364,-38,1,528,1,0,picker-3,,1,,1211.0
365,-37,1,1321,1,0,picker-2,,1,,6381.0
366,-36,1,2462,5,0,picker-3,,1,,22644.0
367,-36,1,479,3,0,picker-3,,1,,21855.0
368,-36,1,2328,3,0,picker-3,,1,,22024.0
369,-36,1,549,3,0,picker-3,,1,,21964.0
370,-36,1,1112,4,0,picker-3,,1,,21680.0
371,-36,1,663,3,0,picker-3,,1,,21953.0
372,-36,1,2651,1,0,picker-3,,1,,22251.0
373,-36,1,598,6,0,picker-3,,1,,21660.0
374,-35,1,829,1,0,picker-5,,1,,1660.0
375,-34,1,38,9,0,picker-5,,1,,1222.0
376,-34,1,870,2,0,picker-5,,1,,1190.0
377,-34,1,1121,2,0,picker-5,,1,,1354.0
378,-34,1,1141,1,0,picker-5,,1,,1544.0
379,-34,1,882,1,0,picker-5,,1,,1165.0
380,-34,1,246,2,0,picker-5,,1,,1242.0
381,-34,1,1218,1,0,picker-5,,1,,1455.0
382,-34,1,49,11,0,picker-5,,1,,1165.0
383,-33,1,323,3,0,picker-4,,1,,2995.0
384,-33,1,628,7,0,picker-4,,1,,3056.0
385,-32,1,3242,3,0,picker-1,,1,0.0,983.0
386,-32,1,249,1,0,picker-1,,1,0.0,193.0
387,-31,1,455,9,0,picker-4,,1,,3892.0
388,-30,1,18,9,0,picker-4,,1,,333.0
389,-29,1,394,1,0,picker-3,,1,,2229.0
390,-28,1,421,8,0,picker-1,,1,,1273.0
391,-27,1,1767,1,0,picker-2,,1,,7222.0
392,-26,1,1799,1,0,picker-2,,1,0.0,594.0
393,-26,1,246,2,0,picker-2,,1,0.0,296.0
394,-26,1,1000,1,0,picker-2,,1,0.0,2008.0
395,-26,1,236,1,0,picker-2,,1,0.0,1771.0
396,-26,1,38,10,0,picker-2,,1,0.0,151.0
397,-26,1,1375,2,0,picker-2,,1,0.0,1479.0
398,-26,1,204,11,0,picker-2,,1,0.0,251.0
399,-26,1,317,5,0,picker-2,,1,0.0,545.0
400,-26,1,1457,1,0,picker-2,,1,0.0,1495.0
401,-26,1,262,1,0,picker-2,,1,0.0,1307.0
402,-26,1,3847,12,0,picker-2,,1,0.0,611.0
403,-26,1,292,3,0,picker-2,,1,0.0,1185.0
404,-26,1,736,8,0,picker-2,,1,0.0,362.0
405,-26,1,424,2,0,picker-2,,1,0.0,1349.0
406,-26,1,833,4,0,picker-2,,1,0.0,1017.0
407,-26,1,2145,1,0,picker-2,,1,0.0,1631.0
408,-26,1,230,4,0,picker-2,,1,0.0,833.0
409,-26,1,418,3,0,picker-2,,1,0.0,1111.0
410,-26,1,65,12,0,picker-2,,1,0.0,326.0
411,-26,1,797,1,0,picker-2,,1,0.0,938.0
412,-26,1,239,2,0,picker-2,,1,0.0,326.0
413,-26,1,853,1,0,picker-2,,1,0.0,1635.0
414,-25,1,333,1,0,picker-2,,1,,1958.0
415,-25,1,1102,4,0,picker-2,,1,,2170.0
416,-24,1,431,9,0,picker-4,,1,,5284.0
417,-23,1,232,2,0,picker-4,,1,,3447.0
418,-23,1,68,3,0,picker-4,,1,,3690.0
419,-22,1,262,1,0,picker-2,,1,0.0,1307.0
420,-21,1,450,11,0,picker-5,,1,,5257.0
421,-21,1,272,5,0,picker-5,,1,,5048.0
422,-21,1,2962,1,0,picker-5,,1,,5170.0
423,-20,1,808,2,0,picker-1,,1,0.0,1198.0
424,-20,1,55,9,0,picker-1,,1,0.0,164.0
425,-20,1,3052,4,0,picker-1,,1,0.0,831.0
426,-20,1,249,6,0,picker-1,,1,0.0,193.0
427,-20,1,231,3,0,picker-1,,1,0.0,601.0
428,-20,1,4101,2,0,picker-1,,1,0.0,1383.0
429,-20,1,2463,2,0,picker-1,,1,0.0,1161.0
430,-20,1,880,3,0,picker-1,,1,0.0,611.0
431,-20,1,1878,4,0,picker-1,,1,0.0,852.0
432,-20,1,238,2,0,picker-1,,1,0.0,653.0
433,-19,1,1419,2,0,picker-4,,1,,15151.0
434,-19,1,46,1,0,picker-4,,1,,14345.0
435,-19,1,202,12,0,picker-4,,1,,13695.0
436,-19,1,2360,2,0,picker-4,,1,,15385.0
437,-19,1,397,7,0,picker-4,,1,,13940.0
438,-19,1,893,2,0,picker-4,,1,,13817.0
439,-19,1,1664,1,0,picker-4,,1,,15659.0
440,-19,1,36,12,0,picker-4,,1,,13770.0
441,-19,1,680,10,0,picker-4,,1,,13832.0
442,-19,1,2710,1,0,picker-4,,1,,15905.0
443,-19,1,60,8,0,picker-4,,1,,13817.0
444,-18,1,1846,3,0,picker-5,,1,0.0,609.0
445,-18,1,654,10,0,picker-5,,1,0.0,126.0
446,-18,1,267,1,0,picker-5,,1,0.0,482.0
447,-18,1,21,12,0,picker-5,,1,0.0,112.0
448,-18,1,594,3,0,picker-5,,1,0.0,210.0
449,-17,1,1599,2,0,picker-2,,1,,7654.0
450,-16,1,1262,1,0,picker-2,,1,,15100.0
451,-16,1,936,2,0,picker-2,,1,,14755.0
452,-16,1,876,3,0,picker-2,,1,,14387.0
453,-16,1,1449,5,0,picker-2,,1,,13951.0
454,-16,1,2265,2,0,picker-2,,1,,14594.0
455,-16,1,197,7,0,picker-2,,1,,13271.0
456,-16,1,287,3,0,picker-2,,1,,13502.0
457,-15,1,311,1,0,picker-3,,1,,1113.0
458,-15,1,302,2,0,picker-3,,1,,857.0
459,-15,1,40,6,0,picker-3,,1,,88.0
460,-14,1,61,12,0,picker-1,,1,0.0,336.0
461,-14,1,457,2,0,picker-1,,1,0.0,243.0
462,-14,1,349,2,0,picker-1,,1,0.0,1308.0
463,-14,1,405,1,0,picker-1,,1,0.0,1801.0
464,-14,1,1047,1,0,picker-1,,1,0.0,1768.0
465,-14,1,4,6,0,picker-1,,1,0.0,74.0
466,-14,1,2051,1,0,picker-1,,1,0.0,1527.0
467,-14,1,55,12,0,picker-1,,1,0.0,164.0
468,-14,1,896,3,0,picker-1,,1,0.0,1085.0
469,-14,1,2,2,0,picker-1,,1,0.0,712.0
470,-14,1,1184,3,0,picker-1,,1,0.0,977.0
471,-14,1,359,4,0,picker-1,,1,0.0,942.0
472,-14,1,68,5,0,picker-1,,1,0.0,845.0
473,-14,1,1387,1,0,picker-1,,1,0.0,284.0
474,-14,1,1297,2,0,picker-1,,1,0.0,1252.0
475,-14,1,163,12,0,picker-1,,1,0.0,164.0
476,-14,1,3948,3,0,picker-1,,1,0.0,886.0
477,-14,1,2230,2,0,picker-1,,1,0.0,1437.0
478,-14,1,318,3,0,picker-1,,1,0.0,871.0
479,-14,1,877,1,0,picker-1,,1,0.0,1450.0
480,-14,1,1290,1,0,picker-1,,1,0.0,1543.0
481,-14,1,220,11,0,picker-1,,1,0.0,559.0
482,-14,1,259,3,0,picker-1,,1,0.0,899.0
483,-14,1,276,1,0,picker-1,,1,0.0,1612.0
484,-14,1,231,1,0,picker-1,,1,0.0,601.0
485,-14,1,844,1,0,picker-1,,1,0.0,336.0
486,-14,1,230,5,0,picker-1,,1,0.0,220.0
487,-14,1,1288,1,0,picker-1,,1,0.0,2202.0
