item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,mean_daily_demand,cv,box_length,box_width,box_height,box_volume,box_weight,item_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
27,10032006001,A,694,2616,940.8571,0.7652,34.0,20.0,11.0,7480.0,6.61,0.275,24,311.7,PCS,"[6, 12, 18, 24, 30, 36, 48, 54, 60, 66, 72, 84, 96]",0.4,0.3
28,10010002001,A,693,2105,937.7143,0.5348,35.0,20.0,11.0,7700.0,6.63,0.276,24,320.8,PCS,"[6, 12, 18, 24, 30, 36, 48, 54, 72, 96]",0.4,0.3
29,10000002001,A,686,342,98.1429,1.0645,34.0,23.0,31.0,24242.0,13.31,2.218,6,4040.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60]",0.4,0.3
30,14203017001,A,683,117,58.4762,0.4264,53.0,34.0,33.0,59466.0,6.06,0.152,40,1486.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 16, 20]",0.4,0.3
31,14832021001,A,681,314,175.7143,0.3371,35.0,27.0,12.0,11340.0,7.2,0.3,24,472.5,PCS,"[1, 2, 3, 4, 6, 8, 9, 12, 18, 21, 24, 30, 33, 40, 48]",0.4,0.3
32,14102250001,A,681,103,47.9524,0.4902,51.0,21.0,34.0,36414.0,4.54,0.454,10,3641.4,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]",0.4,0.3
33,10033018001,A,666,1077,510.8571,0.4758,37.0,25.0,24.0,22200.0,14.89,0.62,24,925.0,PCS,"[1, 3, 4, 5, 7, 8, 9, 12, 15, 16, 19, 20, 24, 28, 36, 44, 48, 52, 64, 72, 96, 120]",0.4,0.3
34,14505016001,A,660,526,183.4286,0.8009,46.0,33.0,20.0,30360.0,3.0,0.125,24,1265.0,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 45, 48]",0.4,0.3
35,14131033001,A,658,107,44.2381,0.6033,53.0,31.0,25.0,41075.0,5.6,0.373,15,2738.3,PCS,"[1, 2, 3, 4, 5, 11]",0.4,0.3
36,14112007001,A,654,177,48.8095,1.1205,40.0,28.0,31.0,34720.0,3.65,0.365,10,3472.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 20, 30]",0.4,0.3
37,10031001001,A,654,1716,839.4286,0.4485,35.0,20.0,11.0,7700.0,6.6,0.275,24,320.8,PCS,"[2, 4, 6, 12, 14, 18, 20, 22, 24, 30, 34, 48, 60, 72, 96]",0.4,0.3
38,10032013001,A,649,1185,570.0,0.4633,40.0,20.0,14.0,11200.0,9.8,0.408,24,466.7,PCS,"[6, 12, 18, 24, 30, 36, 48, 60, 72, 240]",0.4,0.3
39,10021035001,A,648,345,157.381,0.5099,34.0,20.0,11.0,7480.0,6.56,1.64,4,1870.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 18]",0.4,0.3
40,10033004001,A,647,1060,563.3333,0.3785,37.0,25.0,24.0,22200.0,14.94,0.622,24,925.0,PCS,"[2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 24, 28, 36, 44, 46, 48, 52, 60, 72, 96]",0.4,0.3
41,10000998001,A,645,95,40.4762,0.5749,28.0,20.0,19.0,10640.0,4.8,4.8,1,10640.0,PCS,"[1, 2, 3, 4]",0.4,0.3
42,10032016001,A,629,1603,822.5714,0.4076,35.0,20.0,11.0,7700.0,6.58,0.274,24,320.8,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 240, 288]",0.4,0.3
43,15020047001,A,609,3059,1164.2857,0.6993,32.0,15.0,13.0,6240.0,5.25,0.219,24,260.0,PCS,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 84, 96, 120, 126, 144, 192]",0.4,0.3
44,10033025001,A,603,1296,664.8571,0.4074,34.0,20.0,11.0,7480.0,6.45,0.269,24,311.7,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 96]",0.4,0.3
45,14131047001,A,583,101,41.1429,0.6167,59.0,27.0,22.0,35046.0,5.04,0.42,12,2920.5,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]",0.4,0.3
46,14501012001,A,572,182,79.3333,0.553,50.0,36.0,15.0,27000.0,3.0,0.25,12,2250.0,PCS,"[2, 4, 10, 12, 18]",0.4,0.3
47,10001006001,A,572,909,466.5714,0.4074,40.0,28.0,12.0,13440.0,8.95,0.373,24,560.0,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 78, 96, 264]",0.4,0.3
48,10001009001,A,571,2743,939.4286,0.8251,40.0,27.0,10.0,10800.0,6.77,0.282,24,450.0,PCS,"[2, 22, 24, 46, 48, 72, 96, 120, 240]",0.4,0.3
49,14500013001,A,567,522,221.5714,0.5825,43.0,28.0,17.0,20468.0,1.61,0.134,12,1705.7,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 42, 48, 54, 60, 81, 132]",0.4,0.3
50,14110015001,A,565,123,47.0,0.6865,46.0,25.0,21.0,24150.0,2.78,0.232,12,2012.5,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]",0.4,0.3
51,14501045001,A,565,479,154.2857,0.9025,45.0,34.0,21.0,32130.0,3.0,0.125,24,1338.8,PCS,"[3, 6, 18, 21, 24, 27, 48, 54]",0.4,0.3
52,14021010001,A,561,105,51.7619,0.4388,42.0,32.0,13.0,17472.0,2.1,0.175,12,1456.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]",0.4,0.3
53,14011053001,A,559,359,147.0476,0.6173,50.0,40.0,27.0,54000.0,2.81,0.117,24,2250.0,PCS,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 48]",0.4,0.3
54,14133023001,A,552,93,44.3333,0.466,44.0,26.0,34.0,38896.0,3.99,0.332,12,3241.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.4,0.3
55,14505009001,A,551,105,35.2857,0.8451,26.0,18.0,12.0,5616.0,0.7,0.7,1,5616.0,PCS,"[1, 2, 3, 4, 5, 10, 18]",0.4,0.3
56,10032047001,A,544,1368,650.2857,0.4738,42.0,25.0,8.0,8400.0,6.13,0.255,24,350.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48]",0.4,0.3
57,14810006001,A,537,247,122.8571,0.4318,35.0,26.0,18.0,16380.0,10.14,0.423,24,682.5,PCS,"[3, 6, 9, 12, 30, 39, 96, 300]",0.4,0.3
58,14510039001,A,535,127,70.9524,0.3351,35.0,24.0,5.0,4288.0,3.0,3.0,1,4287.5,PCS,"[1, 2, 3, 4, 5, 6, 8, 10]",0.4,0.3
59,10034019001,A,529,1389,682.5714,0.4444,35.0,20.0,12.0,8400.0,6.66,0.278,24,350.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96]",0.4,0.3
60,14011052001,A,527,591,169.3333,1.0702,50.0,39.0,29.0,56550.0,2.45,0.102,24,2356.3,PCS,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 60, 68, 96, 120]",0.4,0.3
61,14010011001,A,525,88,37.5714,0.5764,51.0,42.0,24.0,51408.0,2.01,0.335,6,8568.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",0.4,0.3
62,10033037001,A,522,1806,777.1429,0.5687,35.0,21.0,11.0,8085.0,6.58,0.274,24,336.9,PCS,"[6, 12, 18, 24, 30, 42, 48, 54, 72, 120, 240]",0.4,0.3
63,14501063001,A,521,487,206.0,0.5853,42.0,28.0,17.0,19992.0,1.8,0.15,12,1666.0,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36]",0.4,0.3
64,10000005001,A,516,1702,550.5714,0.8983,40.0,28.0,12.0,13440.0,8.89,0.37,24,560.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96, 108]",0.4,0.3
65,14112014001,A,515,87,36.0952,0.6015,46.0,28.0,31.0,39928.0,3.51,0.351,10,3992.8,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18]",0.4,0.3
66,10000026001,A,506,724,344.381,0.4728,34.0,22.0,14.0,10472.0,6.62,0.276,24,436.3,PCS,"[8, 16, 24, 32, 40, 48, 64, 72, 96]",0.4,0.3
67,14100003001,A,504,68,35.9524,0.3723,40.0,27.0,37.0,39960.0,4.36,0.363,12,3330.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 25]",0.4,0.3
68,14110009001,A,502,144,64.381,0.5263,34.0,24.0,40.0,32640.0,3.16,0.263,12,2720.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",0.4,0.3
69,14501022001,A,498,242,135.7143,0.334,34.0,26.0,15.0,13260.0,2.75,0.229,12,1105.0,PCS,"[1, 2, 3, 4, 5, 6, 9, 12, 15, 18, 24, 30]",0.4,0.3
70,14502077001,A,497,621,197.7143,0.9193,43.0,28.0,17.0,20468.0,1.8,0.15,12,1705.7,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 48]",0.4,0.3
71,14121106001,A,495,120,57.2857,0.4685,36.0,24.0,18.0,15552.0,1.81,0.181,10,1555.2,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.4,0.3
72,14133003001,A,495,99,38.1429,0.6796,44.0,26.0,35.0,40040.0,4.01,0.334,12,3336.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12]",0.4,0.3
73,14131041001,A,493,75,33.4762,0.5313,56.0,26.0,24.0,34944.0,3.92,0.49,8,4368.0,PCS,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.4,0.3
74,14000039001,A,492,85,40.0952,0.4784,46.0,28.0,14.0,18032.0,2.8,0.233,12,1502.7,PCS,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12]",0.4,0.3
75,14505041001,A,490,896,439.7619,0.445,39.0,31.0,12.0,14508.0,2.08,0.052,40,362.7,PCS,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 260]",0.4,0.3
76,14503019001,A,485,454,157.0,0.8123,43.0,29.0,23.0,28681.0,2.11,0.176,12,2390.1,PCS,"[3, 6, 9, 12, 15, 21, 24, 27, 30]",0.4,0.3
77,14101025001,A,483,99,35.5238,0.758,45.0,41.0,24.0,44280.0,5.24,0.437,12,3690.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.4,0.3
78,14000197001,A,482,112,53.0,0.4717,46.0,30.0,29.0,40020.0,3.46,0.288,12,3335.0,PCS,"[1, 2, 3, 4, 6, 8, 10]",0.4,0.3
79,10030007001,A,479,481,298.2857,0.2625,38.0,25.0,24.0,22800.0,14.88,0.62,24,950.0,PCS,"[4, 8, 12, 16, 20, 24, 28, 32, 48, 52, 60, 72]",0.4,0.3
80,10030048001,A,478,584,318.8571,0.3565,38.0,25.0,24.0,22800.0,14.97,0.624,24,950.0,PCS,"[4, 8, 12, 16, 20, 24, 44, 48]",0.4,0.3
81,10002021001,A,477,1957,721.1429,0.7366,40.0,27.0,9.0,9720.0,6.99,0.291,24,405.0,PCS,"[24, 48, 72, 96, 144]",0.4,0.3
82,14500037001,A,475,54,26.381,0.4479,41.0,37.0,38.0,57646.0,6.83,1.138,6,9607.7,PCS,"[1, 2, 3, 14, 25]",0.4,0.3
83,10001012001,A,473,1632,713.1429,0.5537,40.0,27.0,10.0,10800.0,6.79,0.283,24,450.0,PCS,"[24, 48, 72, 96, 168]",0.4,0.3
84,14820012001,A,471,193,100.7143,0.3928,42.0,29.0,18.0,21924.0,17.76,0.37,48,456.8,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 30]",0.4,0.3
85,14000032001,A,470,84,34.3333,0.6209,47.0,27.0,36.0,45684.0,5.15,0.429,12,3807.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12]",0.4,0.3
86,14113066001,A,469,82,35.3333,0.5609,42.0,25.0,23.0,24150.0,3.74,0.468,8,3018.8,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12]",0.4,0.3
87,14011032001,A,468,80,35.0476,0.5409,51.0,31.0,26.0,41106.0,1.49,0.248,6,6851.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 17]",0.4,0.3
88,14810016001,A,465,255,118.7143,0.4917,35.0,26.0,18.0,16380.0,10.7,0.446,24,682.5,PCS,"[3, 6, 9, 12, 15, 18, 36, 84]",0.4,0.3
89,10032010001,A,465,1098,545.1429,0.4356,34.0,20.0,11.0,7480.0,6.68,0.278,24,311.7,PCS,"[6, 12, 18, 24, 30, 48, 72]",0.4,0.3
90,14011028001,A,462,87,31.1905,0.7625,43.0,33.0,20.0,28380.0,2.256,0.376,6,4730.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 10, 12]",0.4,0.3
91,14001042001,A,461,69,31.3333,0.5057,50.0,33.0,34.0,56100.0,4.71,0.392,12,4675.0,PCS,"[1, 2, 3, 4, 5, 6, 10, 12]",0.4,0.3
92,14020053001,A,458,82,44.0,0.3637,30.0,30.0,23.0,20700.0,2.87,0.179,16,1293.8,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20]",0.4,0.3
93,14501014001,A,456,476,238.5714,0.4276,37.0,37.0,14.0,19166.0,3.24,0.108,30,638.9,PCS,"[5, 10, 15, 20, 30, 60]",0.4,0.3
94,14805013001,A,456,66,33.2381,0.416,44.0,29.0,25.0,31900.0,20.66,5.165,4,7975.0,PCS,"[1, 2, 3, 4, 5]",0.4,0.3
95,14505014001,A,455,480,187.4286,0.6696,42.0,29.0,18.0,21924.0,1.7,0.142,12,1827.0,PCS,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 48]",0.4,0.3
96,14000006001,A,452,97,32.0476,0.8578,60.0,34.0,29.0,59160.0,4.77,0.53,9,6573.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 10, 12]",0.4,0.3
97,14001047001,A,452,87,32.8571,0.6993,47.0,32.0,23.0,34592.0,3.36,0.42,8,4324.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 24]",0.4,0.3
98,14104118001,A,451,73,33.0476,0.5143,74.0,29.0,23.0,49358.0,5.22,0.348,15,3290.5,PCS,"[1, 2, 3, 4, 5, 6, 7, 10, 12]",0.4,0.3
99,14104012001,A,442,72,31.2381,0.5586,74.0,29.0,23.0,49358.0,4.21,0.281,15,3290.5,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15]",0.4,0.3
100,10001004001,A,440,172,71.381,0.6018,34.0,23.0,31.0,24242.0,12.52,2.087,6,4040.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 21, 24, 31, 36, 39, 48]",0.4,0.3
101,10033064001,A,433,878,381.7143,0.5578,40.0,20.0,14.0,11200.0,9.82,0.409,24,466.7,PCS,"[6, 12, 18, 24, 30, 48, 54, 60, 72, 120]",0.4,0.3
102,10021006001,A,432,1060,461.3333,0.5571,42.0,28.0,24.0,28224.0,16.04,0.668,24,1176.0,PCS,"[4, 8, 12, 16, 20, 24, 28, 36, 48, 52, 64, 72, 96, 108, 120, 124, 128]",0.4,0.3
103,14121014001,A,422,76,32.4286,0.5677,46.0,26.0,20.0,23920.0,2.7,0.225,12,1993.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]",0.4,0.3
104,10040039001,A,422,119,63.4286,0.3756,36.0,18.0,35.0,22680.0,11.15,5.575,2,11340.0,PCS,"[2, 4, 6, 12, 18, 20]",0.4,0.3
105,14132015001,A,422,64,32.1429,0.4195,37.0,37.0,26.0,35594.0,4.14,0.345,12,2966.2,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 30]",0.4,0.3
106,10002006001,A,422,124,54.2381,0.546,34.0,23.0,31.0,24242.0,13.37,2.228,6,4040.3,PCS,"[1, 2, 3, 4, 6, 7, 12, 18, 22, 24, 36, 48]",0.4,0.3
107,10010035001,A,416,1028,520.8571,0.4182,34.0,20.0,11.0,7480.0,6.61,0.275,24,311.7,PCS,"[6, 12, 18, 24, 30, 48, 54, 72]",0.4,0.3
108,14104129001,A,414,54,26.0,0.4487,45.0,55.0,20.0,49500.0,5.75,0.479,12,4125.0,PCS,"[1, 2, 3, 4, 5, 6, 12]",0.4,0.3
109,14502006001,A,412,201,100.619,0.4267,37.0,31.0,14.0,16058.0,3.0,0.125,24,669.1,PCS,"[4, 5, 8]",0.4,0.3
110,14130007001,A,408,61,28.4286,0.4851,56.0,26.0,24.0,34944.0,3.92,0.49,8,4368.0,PCS,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.4,0.3
111,14121019001,A,407,82,32.6667,0.643,48.0,38.0,19.0,34656.0,3.65,0.304,12,2888.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]",0.4,0.3
112,14502081001,A,406,513,225.0476,0.55,38.0,31.0,13.0,15314.0,3.25,0.108,30,510.5,PCS,"[1, 4, 5, 6, 9, 10, 15, 20, 25, 26, 30, 35, 40, 45, 50, 55, 60, 110, 300]",0.4,0.3
113,10002008001,A,404,2042,654.8571,0.9105,40.0,27.0,10.0,10800.0,6.8,0.283,24,450.0,PCS,"[24, 48, 72, 96, 120, 192]",0.4,0.3
114,14505899001,A,403,749,307.381,0.6175,40.0,31.0,13.0,16120.0,3.0,0.075,40,403.0,PCS,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 70, 80, 90]",0.4,0.3
115,14510050001,A,403,68,37.9048,0.3329,35.0,24.0,5.0,4288.0,3.0,3.0,1,4287.5,PCS,"[1, 2, 3, 4, 5, 6, 8, 10]",0.4,0.3
116,10002102001,A,401,946,462.5714,0.4489,40.0,27.0,12.0,12960.0,9.0,0.375,24,540.0,PCS,"[12, 18, 24, 36, 48, 60, 72, 84, 96, 120]",0.4,0.3
117,10030023001,A,397,53,22.8095,0.5559,27.0,20.0,20.0,10800.0,6.02,6.02,1,10800.0,PCS,"[1, 2, 3, 4, 8]",0.4,0.3
118,10034025001,A,395,1101,499.4286,0.5175,35.0,20.0,11.0,7700.0,6.7,0.279,24,320.8,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 96]",0.4,0.3
119,10002019001,A,390,837,404.5714,0.4586,41.0,27.0,13.0,14391.0,9.34,0.389,24,599.6,PCS,"[6, 12, 18, 24, 30, 36, 48, 60, 72, 84, 96, 120]",0.4,0.3
120,14101048001,A,388,76,29.0952,0.6907,46.0,41.0,24.0,45264.0,4.88,0.407,12,3772.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 15]",0.4,0.3
121,14503000001,A,386,460,225.7143,0.446,37.0,37.0,14.0,19166.0,3.0,0.1,30,638.9,PCS,"[5, 10, 15, 20, 25, 30, 35, 45, 50, 55, 60, 70]",0.4,0.3
122,14830010001,A,386,410,90.8571,1.5083,35.0,27.0,17.0,16065.0,11.73,0.244,48,334.7,PCS,"[3, 6, 9, 12, 15, 18, 24, 30, 45, 60, 66, 72, 78, 144, 216]",0.4,0.3
123,12201105001,A,382,100,45.381,0.5131,20.0,10.0,8.0,1615.0,0.2,0.2,1,1615.0,PCS,"[1, 2, 3, 4, 5, 6, 8]",0.4,0.3
124,14832018001,A,371,296,121.2857,0.6157,35.0,27.0,12.0,11340.0,7.21,0.3,24,472.5,PCS,"[3, 6, 9, 12, 18, 21, 24, 27, 30, 36, 42, 45, 48]",0.4,0.3
125,14850010001,A,370,19,8.1429,0.5618,80.0,40.0,12.0,38400.0,15.0,15.0,1,38400.0,PCS,"[1, 2, 3, 4, 5, 6]",0.4,0.3
126,14501013001,A,369,335,116.1429,0.8072,42.0,28.0,22.0,25872.0,2.5,0.208,12,2156.0,PCS,"[3, 6, 9, 12, 15, 18, 24, 30, 36, 102]",0.4,0.3
127,14011034001,A,368,54,25.0,0.4897,45.0,30.0,30.0,40500.0,2.8,0.28,10,4050.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",0.4,0.3
128,10040062001,A,365,548,309.1429,0.3316,37.0,27.0,30.0,29970.0,15.0,1.25,12,2497.5,PCS,"[2, 10, 12, 24, 36, 48, 60]",0.4,0.3
129,10002005001,A,363,465,234.5714,0.4211,40.0,27.0,13.0,14040.0,9.56,0.398,24,585.0,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 168]",0.4,0.3
130,12220012001,A,362,71,28.2857,0.6374,31.0,21.0,22.0,14322.0,1.0,1.0,1,14322.0,PCS,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 14, 16, 18, 22, 24, 28, 36]",0.4,0.3
131,14501011001,A,361,116,47.0476,0.623,50.0,36.0,15.0,27000.0,3.0,0.25,12,2250.0,PCS,"[2, 4]",0.4,0.3
132,14103009001,A,360,48,22.8571,0.4575,39.0,26.0,32.0,32448.0,4.92,0.615,8,4056.0,PCS,"[1, 2, 3, 4, 5, 6, 7, 11, 13]",0.4,0.3
