item_code,item_id,n_slots,s_total,rop_global,rop_per_pod
14501005001,186,2,120,36,18
14804012001,187,5,30,9,2
14501026001,188,5,80,24,5
15020050001,189,9,1944,583,65
10002010001,190,9,1080,324,36
14505115001,191,8,576,173,22
14620014001,192,7,84,25,4
10033030001,193,7,336,101,15
10033005001,194,3,504,151,51
10034011001,195,3,576,173,58
10032019001,196,5,840,252,51
14502010001,197,3,288,86,29
10040003001,198,37,888,266,8
14501004001,199,4,360,108,27
14500056001,200,9,144,43,5
10015007001,201,7,840,252,36
14023015001,202,3,60,18,6
10002907001,203,5,480,144,29
14010212001,204,12,48,14,2
15023012001,205,3,576,173,58
10015010001,206,4,672,202,51
14110084001,207,3,45,14,5
14204041001,208,2,60,18,9
14610002001,209,5,45,14,3
14612018002,210,2,48,14,7
14102238001,211,4,40,12,3
10034014001,212,4,576,173,44
14611022001,213,4,48,14,4
14111001001,214,8,48,14,2
14501016001,215,4,192,58,15
14121057001,216,3,60,18,6
10002017001,217,32,384,115,4
14505031001,218,6,144,43,8
14833024001,219,1,168,50,50
14000042001,220,2,72,22,11
12201024001,221,63,630,189,3
15022004001,222,7,1512,454,65
12200006001,223,197,1970,591,3
12200002001,224,188,1880,564,3
14014020001,225,5,60,18,4
14000071001,226,2,40,12,6
14130016001,227,3,36,11,4
14501053001,228,7,168,50,8
14504001001,229,2,180,54,27
10032049001,230,3,432,130,44
14001074001,231,6,72,22,4
14361106001,232,4,48,14,4
14010060001,233,5,60,18,4
10033070001,234,13,624,187,15
14620006001,235,3,36,11,4
15022026001,236,17,3672,1102,65
14831021001,237,1,192,58,58
10033011001,238,6,288,86,15
10021009001,239,37,444,133,4
14804010001,240,2,192,58,29
10033066001,241,6,288,86,15
10024007001,242,1,264,79,79
10040023001,243,11,440,132,12
14521158001,244,1,96,29,29
14804002001,245,4,288,86,22
14504027001,246,3,270,81,27
10002003001,247,6,288,86,15
14500014001,248,9,72,22,3
14244016001,249,4,48,14,4
14505021001,250,2,180,54,27
11103090001,251,10,60,18,2
10001014001,252,2,240,72,36
12221012001,253,5,75,22,5
10014033001,254,4,576,173,44
14020015001,255,4,48,14,4
10031016001,256,4,768,230,58
14010027001,257,3,216,65,22
10013005001,258,3,576,173,58
14130009001,259,4,32,10,3
14121062001,260,3,36,11,4
14506056001,261,2,24,7,4
14000040001,262,4,48,14,4
14003009001,263,2,40,12,6
12201898001,264,38,1444,433,12
14012019001,265,2,36,11,6
14020006001,266,4,24,7,2
14505020001,267,2,180,54,27
10032064001,268,3,576,173,58
14506001001,269,3,72,22,8
10000003001,270,3,288,86,29
14615070001,271,12,144,43,4
10034017001,272,3,432,130,44
14130042001,273,3,36,11,4
14353019001,274,12,72,22,2
10030011001,275,6,288,86,15
10002071001,276,3,144,43,15
12100039001,277,1,36,11,11
10012004001,278,15,360,108,8
10000004001,279,27,324,97,4
10033019001,280,12,144,43,4
14132052001,281,3,36,11,4
10002014001,282,3,288,86,29
10020041001,283,3,540,162,54
14502022001,284,4,192,58,15
10013012001,285,1,360,108,108
10012011001,286,5,720,216,44
10034027001,287,3,432,130,44
10040032001,288,11,792,238,22
12220013001,289,6,24,7,2
14511051001,290,4,52,16,4
14831022001,291,1,168,50,50
14121143001,292,2,40,12,6
12212033001,293,3,36,11,4
14101024001,294,3,36,11,4
12201001001,295,25,950,285,12
10001022001,296,3,144,43,15
14103018001,297,3,30,9,3
12201035001,298,20,760,228,12
14520068001,299,1,96,29,29
14833018001,300,2,48,14,7
10032055001,301,2,288,86,43
12201037001,302,22,836,251,12
10002944001,303,5,480,144,29
10040008001,304,20,240,72,4
14000033001,305,1,36,11,11
14010178001,306,2,40,12,6
14504008001,307,2,180,54,27
10014083001,308,2,72,22,11
14100012001,309,3,36,11,4
14023102001,310,1,36,11,11
10033044001,311,5,80,24,5
10033010001,312,10,240,72,8
14010094001,313,2,36,11,6
14500008001,314,39,936,281,8
10035028001,315,2,384,115,58
11103070001,316,4,48,14,4
10040019001,317,12,48,14,2
14200119001,318,2,24,7,4
12201065001,319,16,608,182,12
14500064001,320,2,180,54,27
14510041001,321,7,91,27,4
11061071001,322,1,20,6,6
14244014001,323,4,48,14,4
14501021001,324,4,384,115,29
10033016001,325,9,216,65,8
14840018001,326,1,144,43,43
14000010001,327,5,25,8,2
12000178001,328,2,48,14,7
10032020001,329,3,144,43,15
14503002001,330,1,90,27,27
15020046001,331,3,648,194,65
14001034001,332,2,40,12,6
10033014001,333,5,240,72,15
10034039001,334,2,288,86,43
12201123001,335,21,819,246,12
14110086001,336,2,30,9,5
11103050001,337,11,66,20,2
14020014001,338,3,30,9,3
10040048001,339,59,944,283,5
14131121001,340,2,24,7,4
15020920001,341,6,1296,389,65
14502023001,342,2,96,29,15
12201049001,343,17,629,189,12
14830002001,344,1,192,58,58
14204071001,345,1,24,7,7
14502029001,346,2,96,29,15
14001002001,347,2,36,11,6
14223094001,348,2,48,14,7
10002074001,349,2,48,14,7
14510175001,350,5,65,20,4
10033065001,351,8,192,58,8
14021054001,352,3,18,5,2
10030046001,353,5,240,72,15
11040010001,354,2,48,14,7
10034024001,355,3,288,86,29
10002025001,356,4,48,14,4
14615133001,357,31,372,112,4
14011078001,358,2,24,7,4
14100001001,359,2,24,7,4
14111134001,360,1,40,12,12
10002906001,361,3,144,43,15
14805017001,362,2,192,58,29
10022007001,363,3,288,86,29
10001005001,364,4,384,115,29
14620062001,365,2,48,14,7
12201120001,366,2,74,22,11
14010030001,367,2,40,12,6
14810012001,368,1,120,36,36
10040009001,369,17,204,61,4
12220010001,370,11,44,13,2
10021019001,371,2,336,101,51
14022029001,372,4,24,7,2
12201005001,373,19,703,211,12
10016015001,374,2,336,101,51
10014113001,375,2,192,58,29
12220005001,376,10,40,12,2
10033049001,377,6,96,29,5
10020011001,378,2,336,101,51
14311112001,379,6,48,14,3
14010150001,380,2,36,11,6
14244059001,381,1,60,18,18
10040042001,382,11,44,13,2
14510110001,383,3,39,12,4
10040041001,384,6,432,130,22
10021017001,385,5,240,72,15
14101004001,386,2,24,7,4
10024011001,387,4,192,58,15
14111002001,388,1,18,5,5
10031902001,389,7,168,50,8
10033006001,390,16,256,77,5
10033082001,391,4,192,58,15
14613019001,392,1,24,7,7
14111009001,393,2,24,7,4
10031011001,394,5,120,36,8
12210018001,395,6,222,67,12
10002040001,396,8,96,29,4
10040058001,397,9,432,130,15
10033027001,398,3,144,43,15
14804001001,399,1,120,36,36
14001009001,400,2,48,14,7
14011005001,401,1,12,4,4
14600013001,402,1,72,22,22
14504009001,403,2,180,54,27
14501037001,404,1,48,14,14
14010149001,405,1,16,5,5
10040010001,406,6,288,86,15
10030018001,407,6,96,29,5
14001138001,408,1,12,4,4
15022017001,409,2,384,115,58
14830005001,410,1,240,72,72
11103015001,411,2,24,7,4
14506898001,412,1,80,24,24
10040040001,413,8,32,10,2
14023295001,414,3,18,5,2
14104079001,415,2,48,14,7
14506067001,416,1,96,29,29
11103137001,417,9,108,32,4
14620042001,418,7,84,25,4
10033020001,419,5,80,24,5
14830001001,420,1,120,36,36
12201042001,421,20,740,222,12
14003054001,422,2,24,7,4
11103134001,423,7,28,8,2
14831009001,424,1,216,65,65
14500024001,425,6,144,43,8
14010097001,426,3,18,5,2
14105129001,427,1,18,5,5
14501058001,428,3,72,22,8
15023013001,429,1,192,58,58
14244918001,430,1,36,11,11
12011033001,431,3,36,11,4
10035006001,432,1,168,50,50
14510218001,433,3,39,12,4
14011042001,434,1,20,6,6
10031019001,435,3,144,43,15
14020009001,436,1,12,4,4
15021003001,437,2,384,115,58
14023164001,438,2,12,4,2
14121015001,439,1,20,6,6
10040066001,440,9,360,108,12
14502021001,441,1,48,14,14
11074015002,442,1,72,22,22
10052020001,443,1,24,7,7
14132074001,444,1,12,4,4
14505125001,445,1,90,27,27
14241042001,446,1,30,9,9
12201083001,447,51,1887,566,12
11070001001,448,2,48,14,7
14501928001,449,1,90,27,27
14810005001,450,1,72,22,22
14022167001,451,1,36,11,11
14101074001,452,2,20,6,3
14001092001,453,2,24,7,4
10002072001,454,3,36,11,4
31502006001,455,1,24,7,7
14502016001,456,1,90,27,27
14023014001,457,1,24,7,7
12212005001,458,2,48,14,7
10002073001,459,2,192,58,29
11101014001,460,3,36,11,4
11101028001,461,2,24,7,4
11103094001,462,7,42,13,2
14001007001,463,1,48,14,14
14244999001,464,1,18,5,5
14501065001,465,5,120,36,8
12100026001,466,1,72,22,22
10041032001,467,2,96,29,15
10035013001,468,3,144,43,15
14620908001,469,1,24,7,7
10030045001,470,2,96,29,15
14612075001,471,2,24,7,4
14501084001,472,1,90,27,27
14023129001,473,1,32,10,10
12200017001,474,5,205,62,13
10035010001,475,3,144,43,15
14520067001,476,1,96,29,29
14830072001,477,1,168,50,50
15023017001,478,2,336,101,51
10020015001,479,2,240,72,36
14830045001,480,1,144,43,43
14011004001,481,1,12,4,4
14510123001,482,2,26,8,4
10041039001,483,2,96,29,15
14111038001,484,1,24,7,7
14850034001,485,11,11,3,1
12103027001,486,1,144,43,43
14502080001,487,1,90,27,27
14612088001,488,1,36,11,11
10000013001,489,2,240,72,36
14121006001,490,1,10,3,3
14204086001,491,1,40,12,12
10040027001,492,4,240,72,18
14506099001,493,1,20,6,6
11050012001,494,1,24,7,7
14370003001,495,1,40,12,12
14001104001,496,1,12,4,4
15024014001,497,1,168,50,50
14506142001,498,1,32,10,10
14506100001,499,2,96,29,15
14110024001,500,1,8,2,2
14822063001,501,1,144,43,43
14010055001,502,1,24,7,7
14360022001,503,1,12,4,4
12105009001,504,1,18,5,5
14506060001,505,1,12,4,4
10033001001,506,4,192,58,15
14240005001,507,1,12,4,4
14361010001,508,1,12,4,4
14315016001,509,1,16,5,5
10034016001,510,4,96,29,8
14503048001,511,1,36,11,11
14615082001,512,1,24,7,7
11111019001,513,2,16,6,3
10015008001,514,2,24,10,5
14851072001,515,3,18,7,3
14223080001,516,1,20,8,8
14023126001,517,1,32,13,13
14303933001,518,1,12,5,5
14506143001,519,1,48,19,19
14506005001,520,1,24,10,10
10035003001,521,4,48,19,5
12201048001,522,5,185,74,15
14830073001,523,1,168,67,67
14500012001,524,1,24,10,10
14315017001,525,1,16,6,6
10041003001,526,4,96,38,10
14510101001,527,1,13,5,5
14601030001,528,1,36,14,14
14361082001,529,1,12,5,5
14001028001,530,2,20,8,4
14505911001,531,3,108,43,15
14600011001,532,1,96,38,38
12103008001,533,1,24,10,10
10032001001,534,5,120,48,10
14833052001,535,1,216,86,86
14850093001,536,9,9,4,1
14220140001,537,1,48,19,19
10016014001,538,3,288,115,39
14840022001,539,1,168,67,67
14631018001,540,1,96,38,38
11103098001,541,3,18,7,3
10030030001,542,2,48,19,10
14506159001,543,1,12,5,5
31567052001,544,1,36,14,14
10040111001,545,10,120,48,5
14204021001,546,1,40,16,16
14506887001,547,1,90,36,36
12011113001,548,1,24,10,10
14506008001,549,1,48,19,19
14330011001,550,2,12,5,3
11103176001,551,4,16,6,2
14630022001,552,1,36,14,14
11050076001,553,1,8,3,3
14000015001,554,3,15,6,2
14501052001,555,1,90,36,36
14620114001,556,1,24,10,10
11103096001,557,3,18,7,3
11103095001,558,5,20,8,2
14203083001,559,1,20,8,8
14303934001,560,1,24,10,10
11074015001,561,1,72,29,29
14244933001,562,1,24,10,10
14613009001,563,1,24,10,10
12202039001,564,7,28,11,2
14224003001,565,1,30,12,12
11110085001,566,2,24,10,5
15022009001,567,1,120,48,48
10002942001,568,1,96,38,38
15021060001,569,1,216,86,86
10002917001,570,3,36,14,5
14204055001,571,1,40,16,16
14226009001,572,1,30,12,12
14226007001,573,1,30,12,12
14811004001,574,1,72,29,29
11073902001,575,1,48,19,19
10011021001,576,1,192,77,77
14022041001,577,1,6,2,2
11050040002,578,2,12,5,3
15022015001,579,1,120,48,48
14132116001,580,1,20,8,8
11022051001,581,2,24,10,5
30052113001,582,1,60,24,24
14110019001,583,1,20,8,8
14511011001,584,1,13,5,5
14610011001,585,5,30,12,3
14330019001,586,2,12,5,3
10034007001,587,1,48,19,19
10040016001,588,4,160,64,16
15023004001,589,1,168,67,67
14615038001,590,2,12,5,3
14203062001,591,1,40,16,16
14203032001,592,1,12,5,5
14311027001,593,2,16,6,3
14111004001,594,1,48,19,19
14311058001,595,2,18,7,4
14121112001,596,1,24,10,10
14243040001,597,1,84,34,34
14833020001,598,1,168,67,67
14204126001,599,1,20,8,8
10052035001,600,1,24,10,10
14600898001,601,1,72,29,29
14133028001,602,1,24,10,10
14131026001,603,1,12,5,5
14121061001,604,1,10,4,4
11074003001,605,1,72,29,29
14110003001,606,1,32,13,13
14501899001,607,1,48,19,19
12011114001,608,1,24,10,10
10041135001,609,1,48,19,19
12120063001,610,1,41,16,16
14521178001,611,1,120,48,48
12123076001,612,1,24,10,10
14833035001,613,1,192,77,77
10020036001,614,2,96,38,19
10033017001,615,3,72,29,10
14506089001,616,1,64,26,26
14242037001,617,1,20,8,8
14506352001,618,1,100,40,40
14023035001,619,1,12,5,5
14613908001,620,2,12,5,3
14244898001,621,1,120,48,48
14521181001,622,1,120,48,48
12201051001,623,2,66,26,13
14121075001,624,1,36,14,14
10100132001,625,1,96,38,38
14000100001,626,1,12,5,5
10034033001,627,2,96,38,19
11050060001,628,4,16,6,2
11010042001,629,2,16,6,3
14506109001,630,1,12,5,5
31424002001,631,1,60,24,24
12212900001,632,1,240,96,96
11022007001,633,1,24,10,10
14805010001,634,1,96,38,38
14011041001,635,1,20,8,8
11050033001,636,1,8,3,3
14200011001,637,1,40,16,16
14020960001,638,2,12,5,3
12221008001,639,4,132,53,14
41522003001,640,10,10,4,1
14242155001,641,1,40,16,16
14503004001,642,1,60,24,24
14621005001,643,1,36,14,14
14210120001,644,1,60,24,24
14020030001,645,1,12,5,5
12106028001,646,1,144,58,58
14010293001,647,1,24,10,10
14340006001,648,1,60,24,24
14121105001,649,1,24,10,10
11050011001,650,1,36,14,14
12210005001,651,4,132,53,14
14121064001,652,1,24,10,10
14102010001,653,1,24,10,10
14242056001,654,1,20,8,8
14361036001,655,1,12,5,5
11040030001,656,1,24,10,10
14104148001,657,1,40,16,16
14841002001,658,1,168,67,67
10014898001,659,2,96,38,19
14011023001,660,1,12,5,5
14613007001,661,2,24,10,5
14001039001,662,1,24,10,10
14243166001,663,1,24,10,10
14204044001,664,1,40,16,16
14601001001,665,1,48,19,19
14620110001,666,1,60,24,24
10010019001,667,1,126,50,50
14833042001,668,1,240,96,96
14000066001,669,1,8,3,3
14600025001,670,1,96,38,38
11032218001,671,1,12,5,5
14202017001,672,1,48,19,19
14112053001,673,1,10,4,4
10020042001,674,2,96,38,19
14001035001,675,1,36,14,14
10034046001,676,3,48,19,7
14521166001,677,1,72,29,29
14621045001,678,1,24,10,10
14506174001,679,1,80,32,32
12122013001,680,1,94,38,38
12120053001,681,1,36,14,14
14104060001,682,1,24,10,10
12212910001,683,1,61,24,24
14000055001,684,1,12,5,5
14204010001,685,1,120,48,48
12000059001,686,2,24,10,5
14805006001,687,1,96,38,38
14810002001,688,1,72,29,29
14811006001,689,1,72,29,29
12121005001,690,1,91,36,36
14830007001,691,1,144,58,58
14241031001,692,1,60,24,24
31420009001,693,1,60,24,24
14241030001,694,1,40,16,16
12100011001,695,1,96,38,38
12104003001,696,1,288,115,115
14204078001,697,1,36,14,14
14370025001,698,1,24,10,10
14000117001,699,1,12,5,5
10023106001,700,1,12,5,5
14315003001,701,1,24,10,10
14505003001,702,1,40,16,16
11072001001,703,1,24,10,10
14505139001,704,1,120,48,48
14506096001,705,1,20,8,8
14202009001,706,1,20,8,8
14001086001,707,1,12,5,5
14021036001,708,1,12,5,5
10033073001,709,7,84,34,5
14010186001,710,1,16,6,6
14203048001,711,1,30,12,12
14220005001,712,1,36,14,14
14104011001,713,1,12,5,5
12122020001,714,1,48,19,19
12123019001,715,1,127,51,51
14011015001,716,1,12,5,5
14220078001,717,1,40,16,16
10052011001,718,1,24,10,10
10030019001,719,3,144,58,20
14822008001,720,1,96,38,38
14602023001,721,1,300,120,120
14600021001,722,1,72,29,29
14010050001,723,3,135,54,18
14244919001,724,1,36,14,14
14244929001,725,1,36,14,14
14613024001,726,1,12,5,5
14506314001,727,1,80,32,32
10041899001,728,6,144,58,10
14601003001,729,1,60,24,24
14510196001,730,1,13,5,5
10040082001,731,9,108,43,5
12000060001,732,2,24,10,5
14220071001,733,1,72,29,29
12102152001,734,1,36,14,14
12105034001,735,1,12,5,5
12120025001,736,1,73,29,29
10020008001,737,2,96,38,19
12201095001,738,29,174,70,3
10021042001,739,2,96,38,19
11071916001,740,1,312,125,125
14506004001,741,1,18,7,7
14632223001,742,1,36,14,14
14110163001,743,1,12,5,5
12327057001,744,2,10,4,2
10052017001,745,1,24,10,10
31500025002,746,1,30,12,12
11110089001,747,1,12,5,5
12210003001,748,7,28,11,2
11110060001,749,1,30,12,12
12100013001,750,1,96,38,38
11042008001,751,1,30,12,12
14133007001,752,1,24,10,10
14131074001,753,1,48,19,19
14360026001,754,1,20,8,8
14227005001,755,2,12,5,3
14222897001,756,1,72,29,29
14121129001,757,1,36,14,14
14121093001,758,1,36,14,14
14133027001,759,1,24,10,10
14201013001,760,1,20,8,8
14506281001,761,1,72,29,29
12122016001,762,1,72,29,29
14850125001,763,6,6,2,1
14833056001,764,1,168,67,67
14506126001,765,1,48,19,19
15021047001,766,1,144,58,58
10024014001,767,2,96,38,19
14616019001,768,1,6,2,2
14021035001,769,1,45,18,18
11050065002,770,1,24,10,10
14202013001,771,1,30,12,12
14611899001,772,1,12,5,5
14001084001,773,1,12,5,5
14001085001,774,1,12,5,5
14002021001,775,1,36,14,14
14833086001,776,1,32,13,13
12010037001,777,1,288,115,115
12020232001,778,1,108,43,43
31602045001,779,1,192,77,77
11071001001,780,1,36,14,14
14111005001,781,1,24,10,10
10010042001,782,1,336,134,134
14104200001,783,1,12,5,5
14502031001,784,1,96,38,38
14361162001,785,1,12,5,5
12103030001,786,1,192,77,77
10014080001,787,1,72,29,29
14611020001,788,1,24,10,10
14210051001,789,1,60,24,24
12120038001,790,1,96,38,38
14242149001,791,1,24,10,10
14223178001,792,1,60,24,24
10020025001,793,1,144,58,58
14204025001,794,1,40,16,16
11050019002,795,1,24,10,10
10014086001,796,2,96,38,19
12210011001,797,20,80,32,2
14616013001,798,1,36,14,14
14102048001,799,1,36,14,14
14361007001,800,2,24,10,5
14501017001,801,2,32,13,7
10040050001,802,3,72,29,10
14331044001,803,1,6,2,2
14104097001,804,1,36,14,14
14370029001,805,1,40,16,16
14361027001,806,1,12,5,5
14361160001,807,1,12,5,5
14512899001,808,1,6,2,2
10014074001,809,1,96,38,38
14620903001,810,1,24,10,10
14850124001,811,6,6,2,1
14000051001,812,1,12,5,5
14700078001,813,1,48,19,19
10014029001,814,2,96,38,19
12101004001,815,1,192,77,77
14503010001,816,1,90,36,36
14240017001,817,1,24,10,10
11040039001,818,1,24,10,10
14832057001,819,1,216,86,86
14509036001,820,1,12,5,5
12000317001,821,1,24,10,10
14222087001,822,1,36,14,14
14510118001,823,1,13,5,5
14510068001,824,1,13,5,5
14020977001,825,1,60,24,24
14620051001,826,1,24,10,10
14361112001,827,1,12,5,5
31532100001,828,1,72,29,29
14120044001,829,1,24,10,10
14361041001,830,1,12,5,5
11050031001,831,1,24,10,10
12106097001,832,1,24,10,10
11041027001,833,1,48,19,19
14110002001,834,1,20,8,8
12010080001,835,1,288,115,115
12011056001,836,1,24,10,10
12011400001,837,1,12,5,5
11070045001,838,1,24,10,10
14501938001,839,1,36,14,14
41300016001,840,3,6,2,1
14521180001,841,1,120,48,48
14621038001,842,1,48,19,19
11032027001,843,1,24,10,10
10030021001,844,2,96,38,19
14202023001,845,1,30,12,12
11103058001,846,2,24,10,5
12202005001,847,8,24,10,2
10034012001,848,1,48,19,19
12123075001,849,1,24,10,10
14011043001,850,1,6,2,2
14010102001,851,1,12,5,5
14833075001,852,1,36,14,14
14200046001,853,1,40,16,16
14110011001,854,1,16,6,6
14521159001,855,1,96,38,38
12010059001,856,1,144,58,58
14311020001,857,1,12,5,5
14200049001,858,1,40,16,16
14300008001,859,1,36,14,14
12123897001,860,1,24,10,10
12120093001,861,1,118,47,47
14506044001,862,1,16,6,6
14102008001,863,1,24,10,10
14506225001,864,1,48,19,19
14105008001,865,1,120,48,48
12100027001,866,1,48,19,19
12212069001,867,3,24,10,4
14500081001,868,1,48,19,19
31500022004,869,1,60,24,24
14102007001,870,1,20,8,8
10000001001,871,2,48,19,10
11051044001,872,2,8,3,2
10014126001,873,1,96,38,38
10020019001,874,1,144,58,58
10034023001,875,2,96,38,19
14104102001,876,1,24,10,10
14352080001,877,1,20,8,8
14102025001,878,1,10,4,4
14101081001,879,1,24,10,10
14510010001,880,1,13,5,5
14850040001,881,6,6,2,1
14020019001,882,1,6,2,2
14501926001,883,1,90,36,36
14131044001,884,1,30,12,12
14522065001,885,1,96,38,38
14210079001,886,1,60,24,24
14510190001,887,1,13,5,5
12020165001,888,1,84,34,34
10023002001,889,2,8,3,2
14833058001,890,1,60,24,24
10000023001,891,1,24,10,10
11061070001,892,1,20,8,8
14370076001,893,1,1000,400,400
14602002001,894,1,174,70,70
14741039001,895,1,48,19,19
14022027001,896,1,45,18,18
14620119001,897,1,60,24,24
14023210001,898,1,13,5,5
11070024001,899,1,36,14,14
14833040001,900,1,36,14,14
14001027001,901,1,10,4,4
31603002001,902,1,84,34,34
14243041001,903,1,72,29,29
12020485001,904,1,144,58,58
12010042001,905,1,120,48,48
14820001001,906,1,72,29,29
14243133001,907,1,36,14,14
12010120001,908,1,84,34,34
12121089001,909,1,48,19,19
11103346001,910,1,12,5,5
12121091001,911,1,24,10,10
15021059001,912,1,120,48,48
11100018001,913,2,8,3,2
14001103001,914,1,12,5,5
14210005001,915,1,48,19,19
14833002001,916,1,36,14,14
10035036001,917,1,48,19,19
14104109001,918,1,24,10,10
14832033001,919,1,120,48,48
14511080001,920,1,13,5,5
14500017001,921,1,72,29,29
14001037001,922,1,24,10,10
35751019001,923,1,24,10,10
14203089001,924,1,24,10,10
